districtid,overallid,cases
101,1,220
102,1,2916
103,1,30170
104,1,23975
105,1,626
106,1,4436
107,1,4295
108,1,6280
109,1,5012
110,1,2664
111,1,690
112,1,740
113,1,8192
114,1,4382
115,1,956
116,1,1472
117,1,5726
118,1,1427
119,1,4626
120,1,1822
121,1,791
122,1,44494
123,1,2451
124,1,1144
125,1,52
126,1,480
127,1,3588
128,1,446
129,1,3028
130,1,1408
131,1,266
132,1,123923
133,1,1387
134,1,2939
135,1,24556
136,1,3860
137,1,3426
138,1,6857
139,1,304
140,1,947
141,1,2259
142,1,348
143,1,1981
144,1,4200
145,1,23391
146,1,4267
147,1,667
148,1,1068
149,1,379
150,1,1103
151,1,487
152,1,1228
153,1,1051
154,1,2206
155,1,1796
156,1,3081
157,1,626
158,1,4111
159,1,2926
160,1,765
161,1,7209
162,1,3027
163,1,2327
164,1,1286
165,1,1202
166,1,1018
167,1,2606
168,1,2856
169,1,5428
170,1,5582
171,1,14169
172,1,5566
173,1,144628
174,1,789
175,1,1184
176,1,3171
177,1,5921
178,1,1554
179,1,3653
180,1,1652
181,1,3035
182,1,2228
183,1,648
184,1,1620
185,1,3690
186,1,11022
187,1,4862
188,1,595
189,1,1987
190,1,4716
191,1,2627
192,1,381
193,1,2333
194,1,2165
195,1,533
196,1,792
197,1,1746
198,1,2783
199,1,2483
200,1,3940
201,1,697
202,1,577
203,1,3019
204,1,2612
205,1,478
206,1,398
207,1,398
208,1,16
209,1,2156
210,1,5502
211,1,3581
212,1,525
213,1,315
214,1,883
215,1,140157
216,1,695
217,1,502
218,1,345
219,1,4798
220,1,4966
221,1,3657
222,1,770
223,1,41561
224,1,998
225,1,1077
226,1,18269
227,1,3634
228,1,13643
229,1,10042
230,1,1200
231,1,1270
232,1,488
233,1,4033
234,1,14587
235,1,1089
236,1,762
237,1,71
238,1,2471
239,1,5471
240,1,780
241,1,632
242,1,10975
243,1,5113
244,1,188186
245,1,246
246,1,1430
247,1,4270
248,1,333
249,1,772
250,1,1438
251,1,574
252,1,3340
253,1,984
254,1,1420
255,1,12710
256,1,1938
257,1,2333
258,1,9157
259,1,1862
260,1,7074
261,1,184
262,1,242
263,1,493
264,1,718
265,1,1140
266,1,4466
267,1,5423
268,1,102
269,1,65665
270,1,56
271,1,227
272,1,1879
273,1,320
274,1,8482
275,1,7058
276,1,3658
277,1,1050
278,1,2402
279,1,13577
280,1,1445
281,1,1466
282,1,1122
283,1,1191
284,1,1458
285,1,1078
286,1,2022
287,1,1659
288,1,6299
289,1,919
290,1,2960
291,1,1657
292,1,2597
293,1,713
294,1,18544
295,1,1277
296,1,443
297,1,8569
298,1,4865
299,1,9015
300,1,3074
301,1,1046
302,1,2331
303,1,20455
304,1,916
305,1,1747
306,1,2786
307,1,2132
308,1,2950
309,1,10556
310,1,1012
311,1,372
312,1,39218
313,1,2756
314,1,12978
315,1,6210
316,1,638
317,1,699
318,1,432
319,1,1836
320,1,492
321,1,2838
322,1,5425
323,1,9742
324,1,687
325,1,5077
326,1,2080
327,1,1703
328,1,2810
329,1,8347
330,1,588
331,1,1863
332,1,14008
333,1,1842
334,1,13139
335,1,4679
336,1,2219
337,1,11598
338,1,438
339,1,4333
340,1,7540
341,1,1486
342,1,30711
343,1,4921
344,1,1375
345,1,4110
346,1,4876
347,1,3276
348,1,497
349,1,1703
350,1,1574
351,1,559
352,1,3925
353,1,2473
354,1,742
355,1,1409
356,1,1774
357,1,4764
358,1,290
359,1,1584
360,1,1089
361,1,821
362,1,12742
363,1,1906
364,1,558
365,1,1347
366,1,1378
367,1,12707
368,1,1551
369,1,523
370,1,6773
371,1,3
372,1,18107
373,1,2366
374,1,1026
375,1,1768
376,1,4113
377,1,1290
378,1,16485
379,1,10083
380,1,1471
381,1,979
382,1,629
383,1,1306
384,1,3707
385,1,1761
386,1,5714
387,1,981
388,1,1038
389,1,4813
390,1,530
391,1,1038
392,1,2121
393,1,2302
394,1,2352
395,1,970
396,1,1744
397,1,1014
398,1,20572
399,1,1125
400,1,887
401,1,103
402,1,15
403,1,2323
404,1,334
405,1,1663
406,1,1731
407,1,1247
408,1,3910
409,1,181
410,1,25238
411,1,42359
412,1,4919
413,1,435
414,1,7553
415,1,3981
416,1,959
417,1,542
418,1,5993
419,1,4667
420,1,6454
421,1,4
422,1,17848
423,1,2478
424,1,1980
425,1,291
426,1,2242
427,1,47727
428,1,2222
429,1,7
430,1,3564
431,1,1397
432,1,8
433,1,2626
434,1,1887
435,1,1597
436,1,1075
437,1,9673
438,1,31
439,1,1670
440,1,59
441,1,720
442,1,150
443,1,45
444,1,7
445,1,74
446,1,125
447,1,60
448,1,31308
449,1,11684
450,1,120
451,1,2318
452,1,5033
453,1,14599
454,1,3245
455,1,836
456,1,67
457,1,2029
458,1,633
459,1,546
460,1,1684
461,1,10235
462,1,5138
463,1,2515
464,1,33
465,1,447
466,1,287
467,1,913
468,1,6530
469,1,6883
470,1,760
471,1,2566
472,1,1724
473,1,4619
474,1,4834
475,1,1704
476,1,1738
477,1,1597
478,1,29
479,1,318
480,1,5606
481,1,1046
482,1,2139
483,1,148305
484,1,425
485,1,2387
486,1,3693
487,1,2508
488,1,6486
489,1,21307
490,1,1350
491,1,4356
492,1,3135
493,1,2401
494,1,36136
495,1,3238
496,1,4738
497,1,2454
498,1,201
499,1,8898
500,1,3158
501,1,572
502,1,670
503,1,528
504,1,44053
505,1,946
506,1,2294
507,1,3319
508,1,1321
509,1,1848
510,1,204
511,1,37074
512,1,23
513,1,1264
514,1,745
515,1,762
516,1,7087
517,1,28
518,1,548
519,1,4939
520,1,1855
521,1,27506
522,1,4223
523,1,1582
524,1,2923
525,1,1595
526,1,4418
527,1,293
528,1,1678
529,1,3201
530,1,4261
531,1,5489
532,1,1104
533,1,3864
534,1,1420
535,1,6993
536,1,22285
537,1,737
538,1,1394
539,1,347
540,1,34
541,1,2551
542,1,416
543,1,332
544,1,27976
545,1,511
546,1,2115
547,1,11285
548,1,14458
549,1,6577
550,1,2804
551,1,480
552,1,193507
553,1,3051
554,1,7031
555,1,4305
556,1,4452
557,1,1638
558,1,1651
559,1,8157
560,1,33985
561,1,2393
562,1,15495
563,1,713
564,1,902
565,1,5468
566,1,3102
567,1,985
568,1,1258
569,1,3681
570,1,4916
571,1,691
572,1,2100
573,1,3734
574,1,10397
575,1,1169
576,1,4821
577,1,5208
578,1,439
579,1,861
580,1,3888
581,1,284
582,1,3328
583,1,4544
584,1,310
585,1,991
586,1,4400
587,1,35907
588,1,769
589,1,1230
590,1,4465
591,1,3617
592,1,931
593,1,30
594,1,12504
595,1,3554
596,1,796
597,1,3215
598,1,1667
599,1,17609
600,1,2370
601,1,2048
602,1,1431
603,1,4574
604,1,17702
605,1,622
606,1,571
607,1,794
608,1,285
609,1,15
610,1,716
611,1,775
612,1,3720
613,1,487
614,1,1223
615,1,1829
616,1,853
617,1,558
618,1,18
619,1,389
620,1,9830
621,1,1188
