districtid,weekid,cases
101,1,0
101,2,0
101,3,0
101,4,0
101,5,0
101,6,0
101,7,1
101,8,1
101,9,0
101,10,0
101,11,0
101,12,1
101,13,1
101,14,1
101,15,0
101,16,0
101,17,9
101,18,18
101,19,31
101,20,15
101,21,12
101,22,34
101,23,30
101,24,26
101,25,40
102,1,0
102,2,0
102,3,0
102,4,0
102,5,0
102,6,0
102,7,164
102,8,207
102,9,63
102,10,39
102,11,30
102,12,64
102,13,84
102,14,113
102,15,49
102,16,82
102,17,113
102,18,97
102,19,132
102,20,217
102,21,225
102,22,217
102,23,195
102,24,297
102,25,528
103,1,0
103,2,0
103,3,0
103,4,0
103,5,0
103,6,0
103,7,1362
103,8,1997
103,9,2604
103,10,1857
103,11,1880
103,12,2086
103,13,2339
103,14,2258
103,15,1705
103,16,1446
103,17,1208
103,18,1240
103,19,1366
103,20,1134
103,21,1082
103,22,1095
103,23,1180
103,24,1157
103,25,1174
104,1,0
104,2,0
104,3,0
104,4,0
104,5,0
104,6,0
104,7,6
104,8,18
104,9,12
104,10,0
104,11,36
104,12,82
104,13,45
104,14,38
104,15,65
104,16,170
104,17,276
104,18,436
104,19,1624
104,20,2387
104,21,3282
104,22,4009
104,23,3413
104,24,3726
104,25,4350
105,1,0
105,2,0
105,3,0
105,4,0
105,5,0
105,6,0
105,7,0
105,8,0
105,9,0
105,10,0
105,11,0
105,12,19
105,13,8
105,14,4
105,15,6
105,16,1
105,17,42
105,18,35
105,19,66
105,20,49
105,21,102
105,22,71
105,23,115
105,24,70
105,25,38
106,1,0
106,2,0
106,3,0
106,4,0
106,5,0
106,6,0
106,7,42
106,8,46
106,9,43
106,10,31
106,11,51
106,12,27
106,13,52
106,14,30
106,15,44
106,16,79
106,17,159
106,18,290
106,19,464
106,20,489
106,21,526
106,22,550
106,23,584
106,24,429
106,25,500
107,1,0
107,2,0
107,3,0
107,4,0
107,5,0
107,6,0
107,7,20
107,8,94
107,9,93
107,10,137
107,11,198
107,12,191
107,13,228
107,14,174
107,15,221
107,16,224
107,17,215
107,18,194
107,19,311
107,20,311
107,21,273
107,22,316
107,23,228
107,24,321
107,25,546
108,1,0
108,2,0
108,3,0
108,4,0
108,5,0
108,6,0
108,7,0
108,8,0
108,9,2
108,10,11
108,11,23
108,12,42
108,13,46
108,14,39
108,15,108
108,16,89
108,17,223
108,18,349
108,19,499
108,20,355
108,21,702
108,22,707
108,23,1044
108,24,1297
108,25,744
109,1,0
109,2,0
109,3,0
109,4,0
109,5,0
109,6,0
109,7,28
109,8,14
109,9,11
109,10,55
109,11,24
109,12,40
109,13,70
109,14,100
109,15,99
109,16,122
109,17,150
109,18,163
109,19,219
109,20,328
109,21,533
109,22,533
109,23,636
109,24,861
109,25,1026
110,1,0
110,2,0
110,3,0
110,4,0
110,5,0
110,6,0
110,7,0
110,8,0
110,9,0
110,10,0
110,11,4
110,12,8
110,13,32
110,14,105
110,15,30
110,16,8
110,17,7
110,18,23
