districti,districtj
101,356
101,564
101,575
101,613
101,687
102,179
102,183
102,257
102,277
102,278
102,287
102,324
102,471
102,482
103,121
103,181
103,195
103,292
103,397
103,475
103,659
104,135
104,169
104,504
104,516
104,552
104,641
104,666
105,132
105,208
105,409
105,450
105,464
105,469
105,609
106,182
106,337
106,493
106,522
106,568
106,680
107,117
107,200
107,711
108,275
108,412
108,419
108,533
109,197
109,199
109,297
109,324
109,387
109,471
109,523
109,598
110,132
110,227
110,345
111,165
111,218
111,231
111,253
111,354
111,500
112,139
112,206
112,207
112,495
112,537
112,542
113,179
113,241
113,337
113,457
113,515
113,580
114,428
114,524
114,535
114,586
114,633
114,725
115,136
115,137
115,167
115,309
115,601
115,654
116,136
116,158
116,546
116,558
116,654
117,174
117,200
117,202
117,217
117,395
117,494
117,710
117,711
117,726
118,181
118,195
118,301
118,363
118,565
119,313
119,380
119,662
120,189
120,199
120,319
120,474
120,480
120,598
121,180
121,397
121,699
122,145
122,219
122,221
122,223
122,427
122,682
122,723
123,263
123,291
123,383
123,404
123,424
123,550
123,571
123,622
123,651
124,196
124,229
124,245
124,256
124,393
124,507
124,597
124,652
124,655
125,212
125,442
126,191
126,261
126,417
126,484
126,610
126,688
127,403
127,451
127,556
127,656
128,265
128,292
128,397
128,458
128,588
128,683
129,228
129,538
129,667
129,676
130,134
130,185
130,298
130,353
130,536
130,583
131,311
131,435
131,589
131,621
131,704
132,212
132,227
132,259
132,270
132,273
132,371
132,407
132,409
132,442
132,443
132,444
132,445
132,446
132,464
132,469
132,478
132,479
132,498
132,512
132,513
132,517
132,528
132,539
132,581
132,647
132,675
132,714
132,716
132,717
132,718
132,722
133,278
133,341
133,375
133,377
134,298
134,520
134,583
135,169
135,342
135,343
135,504
136,158
136,167
136,306
136,654
137,300
137,309
137,352
137,472
137,654
138,171
138,288
138,414
138,559
138,705
139,206
139,542
140,244
140,299
140,474
140,487
140,526
140,614
140,643
141,158
141,306
141,433
141,623
141,637
142,178
142,307
142,364
142,466
142,494
142,566
142,608
143,162
143,196
143,368
143,373
143,514
143,652
144,176
144,358
144,393
144,473
144,531
144,554
145,221
145,242
145,288
145,325
145,414
145,427
145,559
146,185
146,203
146,247
146,300
146,472
146,603
146,639
147,251
147,266
147,566
147,695
148,151
148,191
148,350
148,455
148,484
148,561
148,562
149,295
149,310
149,351
149,436
149,631
149,642
149,657
149,660
150,306
150,623
150,625
151,266
151,364
151,484
151,562
151,566
152,344
152,431
152,475
152,532
152,588
152,634
153,216
153,222
153,284
153,317
153,459
153,527
153,605
154,159
154,291
154,383
154,426
154,651
155,177
155,246
155,264
155,304
155,349
155,485
156,329
156,358
156,530
156,531
156,553
156,557
157,231
157,265
157,354
157,458
157,545
157,575
158,306
158,448
158,558
158,637
159,198
159,426
159,551
159,651
160,311
160,356
160,418
160,617
160,621
161,197
161,541
161,573
161,612
161,684
162,359
162,455
162,514
162,561
162,597
162,652
163,338
163,344
163,362
163,431
163,522
164,168
164,449
164,470
164,477
164,600
165,253
165,258
165,342
165,396
165,500
166,232
166,413
166,415
166,463
166,490
166,653
167,306
167,601
167,625
168,280
168,470
168,477
168,635
168,649
169,343
169,437
169,516
169,529
170,394
170,434
170,485
170,536
170,595
171,255
171,288
171,303
171,410
171,599
171,630
171,697
171,705
172,173
172,219
172,408
172,423
172,569
172,682
173,423
173,569
174,217
174,320
174,330
174,395
175,352
175,476
175,547
175,702
176,339
176,392
176,393
177,304
177,389
177,394
177,451
177,485
177,556
177,592
178,211
178,289
178,307
178,494
179,241
179,257
179,382
179,471
179,515
180,502
180,658
180,699
181,195
182,201
182,224
182,508
182,568
182,680
183,240
183,278
183,315
183,341
183,357
183,482
184,213
184,225
184,318
184,328
184,360
184,457
184,582
185,203
185,536
185,583
185,603
186,311
186,563
186,564
186,607
186,704
187,367
187,437
187,499
187,516
187,665
188,232
188,289
188,501
188,653
188,665
189,322
189,474
189,480
189,487
189,495
189,537
189,684
190,225
190,293
190,318
190,338
190,362
190,493
191,350
191,416
191,417
191,484
192,316
192,465
192,585
192,640
192,689
193,264
193,348
193,486
193,518
193,530
193,553
194,252
194,302
194,326
194,557
194,572
195,565
195,659
196,373
196,507
196,652
197,281
197,387
197,480
197,573
197,598
197,612
198,424
198,550
198,551
198,622
198,651
199,297
199,319
199,598
200,202
200,342
200,343
200,529
200,711
201,224
201,418
201,606
201,680
202,342
202,395
202,396
203,300
203,365
203,583
204,254
204,276
204,423
204,468
204,489
204,509
204,569
204,594
204,712
205,263
205,374
205,388
205,404
205,432
205,534
206,537
206,542
206,584
206,698
207,495
207,542
207,684
208,469
208,609
209,300
209,365
209,476
209,642
209,702
210,524
210,586
211,289
211,494
211,665
211,710
211,726
212,442
212,498
212,675
213,355
213,457
213,582
214,298
214,326
214,436
214,520
214,574
215,372
215,669
216,236
216,357
216,435
216,459
216,527
216,589
216,674
217,330
217,494
217,503
217,608
218,231
218,500
218,502
218,525
218,699
219,223
219,408
219,682
220,221
220,234
220,242
220,323
220,620
220,682
220,686
221,242
221,682
222,284
222,391
222,547
222,579
222,605
223,408
223,423
223,587
223,669
223,703
223,723
224,418
224,467
224,508
224,545
224,568
224,683
225,318
225,360
225,493
225,627
226,275
226,276
226,333
226,509
226,519
226,673
226,678
227,345
228,370
228,492
228,538
228,548
228,667
228,706
229,256
229,336
229,339
229,392
229,398
229,507
229,555
230,521
230,701
231,354
231,458
231,525
232,413
232,501
232,653
233,462
233,696
234,323
234,386
234,405
234,686
235,701
236,335
236,390
236,503
236,527
236,589
237,258
237,504
237,505
237,661
238,452
238,488
238,591
238,595
238,636
239,345
239,369
239,403
239,628
239,696
240,315
240,357
240,435
240,621
241,337
241,382
241,606
241,680
242,325
242,620
243,322
243,537
243,590
243,619
243,633
243,664
243,698
244,279
244,297
244,299
244,314
244,355
244,643
245,597
245,655
246,264
246,302
246,348
246,349
247,308
247,309
247,430
247,472
247,639
248,347
248,543
249,320
249,334
249,395
249,396
249,607
249,613
249,687
250,305
250,399
250,513
250,691
251,266
251,296
251,413
251,490
251,562
251,695
252,302
252,348
252,530
252,557
253,334
253,354
253,396
253,575
253,687
254,276
254,370
254,423
254,594
254,679
255,288
255,325
255,697
256,339
256,393
257,382
257,482
258,342
258,500
258,504
258,661
259,407
259,539
260,333
260,385
260,453
260,668
260,676
260,678
261,335
261,364
261,466
261,484
261,688
262,301
263,388
263,404
263,571
263,685
264,304
264,348
264,518
265,458
265,545
265,683
266,562
266,566
267,308
267,488
267,616
267,636
267,713
268,512
268,645
268,714
268,718
269,463
269,653
269,665
269,708
269,715
270,716
271,429
271,517
271,528
271,663
271,717
272,581
272,648
272,716
272,718
273,445
273,446
273,624
273,693
274,358
274,473
274,557
274,602
275,333
275,419
275,673
276,385
276,497
276,509
276,594
276,678
277,281
277,287
277,324
277,387
277,460
278,287
278,341
278,375
278,460
279,297
279,314
279,523
280,286
280,477
280,649
281,321
281,375
281,387
281,460
281,612
282,318
282,328
282,361
282,470
282,600
282,635
283,449
283,535
283,585
283,586
283,600
284,317
284,378
284,391
284,546
284,558
284,690
285,286
285,293
285,318
285,649
286,340
286,380
286,477
286,649
286,662
287,460
288,325
288,414
289,307
289,501
289,566
289,665
289,695
290,294
290,373
290,577
290,650
291,383
291,651
292,397
292,475
292,588
293,318
294,373
294,398
294,507
294,555
294,650
295,436
295,520
295,583
295,642
296,368
296,455
296,490
296,514
296,562
297,299
297,319
297,523
298,326
298,353
298,406
298,496
298,506
298,520
299,319
299,474
300,352
300,365
300,472
300,702
301,363
302,326
302,348
302,349
302,406
302,506
303,630
303,697
304,518
304,592
305,399
305,632
305,646
306,623
306,625
307,566
308,430
308,488
308,603
308,639
308,713
309,430
309,454
309,472
309,601
309,625
310,351
310,400
310,436
310,441
310,574
310,629
311,356
311,564
311,621
311,704
312,422
312,544
312,665
313,331
313,374
313,380
313,534
314,355
314,515
314,523
314,580
315,482
315,621
316,374
316,465
316,689
317,341
317,357
317,377
317,378
317,459
318,328
318,635
318,649
319,474
320,330
320,395
320,607
321,375
321,378
321,433
321,448
321,612
321,637
321,690
322,487
322,537
322,590
323,405
323,468
323,489
323,682
324,387
324,471
325,620
325,697
326,406
326,572
326,574
327,499
327,529
327,711
327,726
328,361
328,582
329,332
329,491
329,511
329,531
329,553
330,503
330,563
330,607
331,340
331,374
331,380
331,585
331,611
331,689
332,411
332,511
332,531
332,554
332,644
333,419
333,533
333,668
333,677
333,678
333,707
334,396
334,687
335,390
335,466
335,503
335,608
335,688
336,392
336,555
337,457
337,493
337,627
337,680
338,362
339,392
339,393
340,380
340,449
340,477
340,611
341,357
341,377
342,343
342,396
342,504
343,529
344,431
344,522
344,634
345,369
346,567
346,578
346,596
346,685
347,481
347,543
347,565
348,530
349,434
349,485
349,506
349,615
350,416
350,561
351,561
351,629
351,655
351,660
352,546
352,547
352,654
352,702
353,496
353,536
354,575
355,457
355,580
355,582
355,643
356,418
356,467
356,564
356,575
357,435
357,459
357,510
357,621
357,674
358,473
358,531
358,557
359,561
359,597
359,655
360,457
360,627
361,366
361,384
361,526
361,535
361,582
361,600
361,643
362,493
362,522
363,543
363,565
364,466
364,484
364,566
365,583
365,642
366,384
366,428
366,535
367,516
367,641
367,665
367,705
367,724
368,373
368,415
368,490
368,514
368,577
369,628
370,538
370,594
370,679
370,706
371,421
371,446
371,447
371,528
371,694
372,669
372,679
372,703
372,706
373,507
373,577
374,425
374,432
374,465
374,534
374,689
375,377
375,378
375,460
376,386
376,405
376,420
376,456
376,712
377,378
378,690
379,670
379,677
380,611
380,662
381,492
381,671
382,482
382,606
382,617
383,404
383,432
383,439
384,428
384,526
384,590
384,614
384,725
385,497
385,676
385,678
386,405
388,534
388,596
388,685
389,462
389,556
389,592
389,696
390,527
390,605
390,688
391,546
391,547
391,558
393,473
393,655
393,720
394,451
394,485
394,591
394,595
395,396
397,458
397,525
397,699
398,507
398,555
399,632
399,721
400,574
400,602
400,629
400,720
401,425
401,432
401,619
401,698
402,540
402,681
402,727
403,556
403,696
404,432
405,489
405,712
406,506
407,469
407,539
407,540
407,722
407,727
408,423
409,464
410,576
410,599
410,630
411,511
411,644
412,533
412,670
412,677
413,490
413,501
413,695
414,559
415,463
415,490
415,577
415,708
415,709
416,417
416,561
416,657
416,660
417,610
417,626
417,631
417,657
418,467
418,606
418,617
419,533
420,456
420,461
420,712
421,429
421,447
421,528
421,694
422,665
422,715
423,569
423,679
423,703
424,551
424,567
424,571
424,578
424,622
425,432
425,465
425,619
427,544
427,559
427,665
427,723
428,535
428,725
429,528
429,694
430,454
430,713
431,481
431,532
431,659
432,439
433,541
433,612
433,637
434,485
434,496
434,536
434,615
435,510
435,589
435,621
435,674
436,441
436,520
436,574
437,499
437,516
437,529
438,450
438,593
440,446
440,694
440,719
441,574
442,445
442,498
443,479
443,675
444,478
444,479
444,681
445,692
445,693
446,624
446,694
446,719
447,528
448,558
448,637
448,690
449,477
449,585
449,600
449,611
450,464
450,609
451,556
451,591
451,656
452,591
452,636
452,656
453,638
453,668
453,676
453,707
454,625
454,713
455,514
455,561
455,562
457,580
457,627
458,525
461,509
461,519
461,673
461,712
462,486
462,592
462,696
463,653
463,708
464,513
465,619
465,640
466,608
467,508
467,545
467,575
468,489
468,569
468,682
469,539
469,540
470,600
470,635
471,515
471,523
473,602
473,720
474,487
475,532
475,588
475,659
476,547
476,579
476,631
476,642
476,702
478,681
478,722
478,727
479,681
480,573
480,598
480,684
481,565
481,659
482,617
482,621
483,666
486,491
486,518
486,553
486,592
487,590
487,614
488,595
488,603
488,616
488,636
488,700
489,712
491,511
491,553
492,667
492,671
493,522
493,627
494,608
494,710
495,537
495,684
496,506
496,536
496,615
497,594
497,676
499,529
499,665
499,726
500,502
500,661
501,695
502,658
502,661
502,699
503,563
503,589
503,608
504,505
504,521
504,666
504,701
505,658
505,661
505,701
506,615
508,545
509,519
509,712
510,674
511,644
512,714
512,718
513,691
515,523
515,580
516,641
517,528
517,717
518,592
519,673
520,583
521,666
521,701
522,568
522,634
522,683
524,586
524,633
524,640
525,699
526,614
526,643
527,605
529,711
530,553
530,557
531,554
532,659
533,677
535,586
535,600
536,595
536,603
536,700
537,584
537,664
538,594
538,676
540,727
541,612
541,684
543,565
544,587
544,665
544,723
545,575
545,683
546,547
546,558
546,654
547,579
548,706
549,570
549,638
549,667
549,676
550,622
550,651
551,567
551,578
552,560
552,604
552,641
552,666
554,644
556,696
557,572
557,574
557,602
558,690
559,665
559,705
559,724
560,576
560,604
560,666
561,655
561,660
563,589
563,607
563,704
564,607
564,613
565,659
566,695
567,578
568,683
569,682
570,638
570,672
570,707
571,578
571,685
572,574
573,684
574,602
575,687
576,599
576,604
576,630
577,650
577,709
578,685
579,605
579,626
579,631
581,716
581,718
582,643
583,642
584,664
584,698
585,586
585,611
585,640
585,689
586,640
587,669
587,723
588,634
588,683
589,704
590,614
590,633
590,725
