weekid,method,spot,districtid
1,neighborhood,hot,210
1,neighborhood,hot,244
1,neighborhood,hot,665
1,state,hot,210
1,state,hot,244
1,state,hot,665
2,neighborhood,hot,210
2,neighborhood,hot,244
2,neighborhood,hot,303
2,neighborhood,hot,469
2,neighborhood,hot,665
2,state,hot,210
2,state,hot,244
2,state,hot,303
2,state,hot,469
2,state,hot,665
3,neighborhood,hot,132
3,neighborhood,hot,210
3,neighborhood,hot,244
3,neighborhood,hot,303
3,neighborhood,hot,665
3,state,hot,132
3,state,hot,210
3,state,hot,244
3,state,hot,303
3,state,hot,469
3,state,hot,665
4,neighborhood,hot,132
4,neighborhood,hot,210
4,neighborhood,hot,244
4,neighborhood,hot,665
4,state,hot,132
4,state,hot,210
4,state,hot,244
4,state,hot,665
5,neighborhood,hot,132
5,neighborhood,hot,210
5,neighborhood,hot,244
5,neighborhood,hot,665
5,state,hot,132
5,state,hot,210
5,state,hot,244
5,state,hot,665
6,neighborhood,hot,132
6,neighborhood,hot,210
6,neighborhood,hot,244
6,neighborhood,hot,665
6,state,hot,132
6,state,hot,210
6,state,hot,244
6,state,hot,665
7,neighborhood,hot,102
7,neighborhood,hot,103
7,neighborhood,hot,107
7,neighborhood,hot,109
7,neighborhood,hot,119
7,neighborhood,hot,123
7,neighborhood,hot,126
7,neighborhood,hot,127
7,neighborhood,hot,129
7,neighborhood,hot,131
7,neighborhood,hot,132
7,neighborhood,hot,135
7,neighborhood,hot,141
7,neighborhood,hot,143
7,neighborhood,hot,144
7,neighborhood,hot,153
7,neighborhood,hot,159
7,neighborhood,hot,167
7,neighborhood,hot,171
7,neighborhood,hot,173
7,neighborhood,hot,186
7,neighborhood,hot,210
7,neighborhood,hot,215
7,neighborhood,hot,234
7,neighborhood,hot,242
7,neighborhood,hot,244
7,neighborhood,hot,246
7,neighborhood,hot,250
7,neighborhood,hot,294
7,neighborhood,hot,304
7,neighborhood,hot,308
7,neighborhood,hot,312
7,neighborhood,hot,327
7,neighborhood,hot,331
7,neighborhood,hot,333
7,neighborhood,hot,334
7,neighborhood,hot,335
7,neighborhood,hot,337
7,neighborhood,hot,339
7,neighborhood,hot,348
7,neighborhood,hot,357
7,neighborhood,hot,362
7,neighborhood,hot,376
7,neighborhood,hot,378
7,neighborhood,hot,389
7,neighborhood,hot,412
7,neighborhood,hot,418
7,neighborhood,hot,419
7,neighborhood,hot,427
7,neighborhood,hot,437
7,neighborhood,hot,448
7,neighborhood,hot,449
7,neighborhood,hot,452
7,neighborhood,hot,453
7,neighborhood,hot,461
7,neighborhood,hot,468
7,neighborhood,hot,474
7,neighborhood,hot,480
7,neighborhood,hot,483
7,neighborhood,hot,485
7,neighborhood,hot,494
7,neighborhood,hot,497
7,neighborhood,hot,532
7,neighborhood,hot,535
7,neighborhood,hot,536
7,neighborhood,hot,547
7,neighborhood,hot,552
7,neighborhood,hot,565
7,neighborhood,hot,570
7,neighborhood,hot,574
7,neighborhood,hot,583
7,neighborhood,hot,590
7,neighborhood,hot,596
7,neighborhood,hot,610
7,neighborhood,hot,650
7,neighborhood,hot,655
7,neighborhood,hot,657
7,neighborhood,hot,658
7,neighborhood,hot,665
7,neighborhood,hot,699
7,neighborhood,hot,702
7,neighborhood,hot,708
7,neighborhood,hot,713
7,neighborhood,cold,104
7,neighborhood,cold,118
7,neighborhood,cold,120
7,neighborhood,cold,150
7,neighborhood,cold,174
7,neighborhood,cold,180
7,neighborhood,cold,200
7,neighborhood,cold,201
7,neighborhood,cold,235
7,neighborhood,cold,264
7,neighborhood,cold,267
7,neighborhood,cold,276
7,neighborhood,cold,405
7,neighborhood,cold,420
7,neighborhood,cold,430
7,neighborhood,cold,508
7,neighborhood,cold,509
7,neighborhood,cold,523
7,neighborhood,cold,533
7,neighborhood,cold,544
7,neighborhood,cold,548
7,neighborhood,cold,611
7,neighborhood,cold,639
7,neighborhood,cold,673
7,neighborhood,cold,710
7,neighborhood,cold,711
7,neighborhood,cold,715
7,state,hot,102
7,state,hot,103
7,state,hot,119
7,state,hot,123
7,state,hot,132
7,state,hot,144
7,state,hot,159
7,state,hot,171
7,state,hot,173
7,state,hot,185
7,state,hot,186
7,state,hot,203
7,state,hot,210
7,state,hot,215
7,state,hot,243
7,state,hot,244
7,state,hot,250
7,state,hot,279
7,state,hot,287
7,state,hot,297
7,state,hot,312
7,state,hot,334
7,state,hot,337
7,state,hot,339
7,state,hot,355
7,state,hot,362
7,state,hot,367
7,state,hot,376
7,state,hot,378
7,state,hot,383
7,state,hot,412
7,state,hot,419
7,state,hot,422
7,state,hot,427
7,state,hot,449
7,state,hot,452
7,state,hot,456
7,state,hot,468
7,state,hot,483
7,state,hot,485
7,state,hot,574
7,state,hot,583
7,state,hot,651
7,state,hot,657
7,state,hot,665
7,state,hot,684
7,state,cold,108
7,state,cold,275
7,state,cold,420
7,state,cold,439
7,state,cold,533
7,state,cold,673
8,neighborhood,hot,102
8,neighborhood,hot,103
8,neighborhood,hot,107
8,neighborhood,hot,114
8,neighborhood,hot,116
8,neighborhood,hot,123
8,neighborhood,hot,124
8,neighborhood,hot,126
8,neighborhood,hot,132
8,neighborhood,hot,138
8,neighborhood,hot,141
8,neighborhood,hot,144
8,neighborhood,hot,152
8,neighborhood,hot,153
8,neighborhood,hot,170
8,neighborhood,hot,173
8,neighborhood,hot,177
8,neighborhood,hot,186
8,neighborhood,hot,193
8,neighborhood,hot,198
8,neighborhood,hot,210
8,neighborhood,hot,215
8,neighborhood,hot,224
8,neighborhood,hot,225
8,neighborhood,hot,226
8,neighborhood,hot,228
8,neighborhood,hot,234
8,neighborhood,hot,239
8,neighborhood,hot,242
8,neighborhood,hot,243
8,neighborhood,hot,244
8,neighborhood,hot,250
8,neighborhood,hot,260
8,neighborhood,hot,266
8,neighborhood,hot,267
8,neighborhood,hot,272
8,neighborhood,hot,294
8,neighborhood,hot,295
8,neighborhood,hot,313
8,neighborhood,hot,315
8,neighborhood,hot,334
8,neighborhood,hot,335
8,neighborhood,hot,337
8,neighborhood,hot,339
8,neighborhood,hot,341
8,neighborhood,hot,346
8,neighborhood,hot,347
8,neighborhood,hot,362
8,neighborhood,hot,364
8,neighborhood,hot,378
8,neighborhood,hot,406
8,neighborhood,hot,411
8,neighborhood,hot,427
8,neighborhood,hot,439
8,neighborhood,hot,448
8,neighborhood,hot,452
8,neighborhood,hot,453
8,neighborhood,hot,462
8,neighborhood,hot,474
8,neighborhood,hot,480
8,neighborhood,hot,483
8,neighborhood,hot,494
8,neighborhood,hot,497
8,neighborhood,hot,509
8,neighborhood,hot,530
8,neighborhood,hot,547
8,neighborhood,hot,552
8,neighborhood,hot,570
8,neighborhood,hot,574
8,neighborhood,hot,600
8,neighborhood,hot,611
8,neighborhood,hot,625
8,neighborhood,hot,639
8,neighborhood,hot,649
8,neighborhood,hot,651
8,neighborhood,hot,658
8,neighborhood,hot,662
8,neighborhood,hot,665
8,neighborhood,hot,677
8,neighborhood,hot,683
8,neighborhood,hot,697
8,neighborhood,hot,698
8,neighborhood,hot,699
8,neighborhood,hot,702
8,neighborhood,hot,708
8,neighborhood,hot,713
8,neighborhood,cold,127
8,neighborhood,cold,131
8,neighborhood,cold,136
8,neighborhood,cold,146
8,neighborhood,cold,150
8,neighborhood,cold,157
8,neighborhood,cold,262
8,neighborhood,cold,298
8,neighborhood,cold,303
8,neighborhood,cold,308
8,neighborhood,cold,345
8,neighborhood,cold,360
8,neighborhood,cold,366
8,neighborhood,cold,380
8,neighborhood,cold,391
8,neighborhood,cold,434
8,neighborhood,cold,472
8,neighborhood,cold,486
8,neighborhood,cold,519
8,neighborhood,cold,523
8,neighborhood,cold,544
8,neighborhood,cold,548
8,neighborhood,cold,550
8,neighborhood,cold,568
8,neighborhood,cold,588
8,neighborhood,cold,612
8,neighborhood,cold,634
8,neighborhood,cold,636
8,neighborhood,cold,638
8,neighborhood,cold,672
8,neighborhood,cold,673
8,neighborhood,cold,696
8,neighborhood,cold,700
8,neighborhood,cold,710
8,state,hot,102
8,state,hot,103
8,state,hot,119
8,state,hot,123
8,state,hot,132
8,state,hot,138
8,state,hot,159
8,state,hot,170
8,state,hot,173
8,state,hot,177
8,state,hot,186
8,state,hot,198
8,state,hot,205
8,state,hot,210
8,state,hot,215
8,state,hot,224
8,state,hot,230
8,state,hot,242
8,state,hot,244
8,state,hot,250
8,state,hot,266
8,state,hot,272
8,state,hot,287
8,state,hot,294
8,state,hot,295
8,state,hot,297
8,state,hot,299
8,state,hot,312
8,state,hot,313
8,state,hot,314
8,state,hot,332
8,state,hot,334
8,state,hot,337
8,state,hot,362
8,state,hot,364
8,state,hot,374
8,state,hot,378
8,state,hot,389
8,state,hot,411
8,state,hot,422
8,state,hot,427
8,state,hot,439
8,state,hot,461
8,state,hot,474
8,state,hot,483
8,state,hot,485
8,state,hot,536
8,state,hot,548
8,state,hot,574
8,state,hot,583
8,state,hot,595
8,state,hot,622
8,state,hot,643
8,state,hot,651
8,state,hot,662
8,state,hot,665
8,state,hot,666
8,state,hot,683
8,state,hot,684
8,state,hot,687
8,state,hot,697
8,state,hot,712
8,state,cold,127
8,state,cold,298
8,state,cold,308
8,state,cold,349
8,state,cold,383
8,state,cold,434
8,state,cold,451
8,state,cold,534
8,state,cold,586
8,state,cold,636
9,neighborhood,hot,102
9,neighborhood,hot,103
9,neighborhood,hot,107
9,neighborhood,hot,119
9,neighborhood,hot,129
9,neighborhood,hot,132
9,neighborhood,hot,135
9,neighborhood,hot,144
9,neighborhood,hot,147
9,neighborhood,hot,155
9,neighborhood,hot,158
9,neighborhood,hot,171
9,neighborhood,hot,173
9,neighborhood,hot,186
9,neighborhood,hot,196
9,neighborhood,hot,202
9,neighborhood,hot,210
9,neighborhood,hot,215
9,neighborhood,hot,234
9,neighborhood,hot,242
9,neighborhood,hot,243
9,neighborhood,hot,244
9,neighborhood,hot,250
9,neighborhood,hot,274
9,neighborhood,hot,280
9,neighborhood,hot,281
9,neighborhood,hot,285
9,neighborhood,hot,294
9,neighborhood,hot,300
9,neighborhood,hot,301
9,neighborhood,hot,315
9,neighborhood,hot,323
9,neighborhood,hot,326
9,neighborhood,hot,334
9,neighborhood,hot,335
9,neighborhood,hot,337
9,neighborhood,hot,339
9,neighborhood,hot,340
9,neighborhood,hot,344
9,neighborhood,hot,346
9,neighborhood,hot,350
9,neighborhood,hot,357
9,neighborhood,hot,362
9,neighborhood,hot,374
9,neighborhood,hot,375
9,neighborhood,hot,378
9,neighborhood,hot,385
9,neighborhood,hot,388
9,neighborhood,hot,394
9,neighborhood,hot,411
9,neighborhood,hot,418
9,neighborhood,hot,424
9,neighborhood,hot,426
9,neighborhood,hot,433
9,neighborhood,hot,439
9,neighborhood,hot,448
9,neighborhood,hot,452
9,neighborhood,hot,453
9,neighborhood,hot,461
9,neighborhood,hot,462
9,neighborhood,hot,468
9,neighborhood,hot,470
9,neighborhood,hot,474
9,neighborhood,hot,480
9,neighborhood,hot,483
9,neighborhood,hot,488
9,neighborhood,hot,494
9,neighborhood,hot,506
9,neighborhood,hot,508
9,neighborhood,hot,530
9,neighborhood,hot,536
9,neighborhood,hot,547
9,neighborhood,hot,552
9,neighborhood,hot,556
9,neighborhood,hot,565
9,neighborhood,hot,573
9,neighborhood,hot,574
9,neighborhood,hot,583
9,neighborhood,hot,585
9,neighborhood,hot,589
9,neighborhood,hot,590
9,neighborhood,hot,605
9,neighborhood,hot,625
9,neighborhood,hot,654
9,neighborhood,hot,655
9,neighborhood,hot,658
9,neighborhood,hot,665
9,neighborhood,hot,677
9,neighborhood,hot,679
9,neighborhood,hot,683
9,neighborhood,hot,699
9,neighborhood,hot,708
9,neighborhood,hot,712
9,neighborhood,hot,713
9,neighborhood,cold,118
9,neighborhood,cold,127
9,neighborhood,cold,136
9,neighborhood,cold,137
