Id,District
101,agar malwa/Q15732396
102,agra/Q606343
103,ahmedabad/Q401686
104,ahmednagar/Q401744
105,aizawl/Q1947322
106,ajmer/Q413037
107,akola/Q520510
108,alappuzha/Q928959
109,aligarh/Q766918
110,alipurduar/Q4726845
111,alirajpur/Q2667586
112,almora/Q1805066
113,alwar/Q449690
114,ambala/Q2086226
115,ambedkar nagar/Q456764
116,amethi/Q1071494
117,amravati/Q1771774
118,amreli/Q257946
119,amritsar/Q202822
120,amroha/Q1891677
121,anand/Q485683
122,anantapur/Q15212
123,anantnag/Q2982349
124,angul/Q1772807
125,anjaw/Q15413
126,anuppur/Q2299093
127,araria/Q42901
128,aravalli/Q12175285
129,ariyalur/Q15112
130,arwal/Q42917
131,ashoknagar/Q2246416
132,assam/Q12345
133,auraiya/Q1812533
134,aurangabadbr/Q43086
135,aurangabadmh/Q592942
136,ayodhya/Q1814132
137,azamgarh/Q793553
138,bagalkote/Q1910231
139,bageshwar/Q1815313
140,baghpat/Q1797363
141,bahraich/Q1812548
142,balaghat/Q641904
143,balangir/Q804642
144,balasore/Q2022279
145,ballari/Q1791926
146,ballia/Q584644
147,balod/Q16056266
148,baloda bazar/Q15663455
149,balrampurct/Q16056268
150,balrampurup/Q1948380
151,bametara/Q16254159
152,banaskantha/Q806125
153,banda/Q2131759
154,bandipora/Q2983553
155,banka/Q43097
156,bankura/Q2088458
157,banswara/Q806969
158,barabanki/Q633114
159,baramulla/Q1912057
160,baran/Q2329717
161,bareilly/Q1797378
162,bargarh/Q808140
163,barmer/Q42016
164,barnala/Q2353293
165,barwani/Q2126754
166,bastar/Q100152
167,basti/Q715267
168,bathinda/Q172488
169,beed/Q814037
170,begusarai/Q49157
171,belagavi/Q815464
172,bengaluru rural/Q806464
173,bengaluru urban/Q806463
174,betul/Q1815279
175,bhadohi/Q127533
176,bhadrak/Q685638
177,bhagalpur/Q49155
178,bhandara/Q1813857
179,bharatpur/Q854861
180,bharuch/Q854900
181,bhavnagar/Q854963
182,bhilwara/Q41991
183,bhind/Q2341700
184,bhiwani/Q1852857
185,bhojpur/Q49153
186,bhopal/Q1797245
187,bidar/Q1790568
188,bijapur/Q100164
189,bijnor/Q1937865
190,bikaner/Q778996
191,bilaspurct/Q100157
192,bilaspurhp/Q1478939
193,birbhum/Q2088440
194,bokaro/Q2295925
195,botad/Q14505072
196,boudh/Q2363639
197,budaun/Q1815262
198,budgam/Q2594218
199,bulandshahr/Q1752328
200,buldhana/Q47929
201,bundi/Q670405
202,burhanpur/Q2125592
203,buxar/Q49161
204,chamarajanagara/Q862912
205,chamba/Q1060614
206,chamoli/Q1797372
207,champawat/Q288278
208,champhai/Q1965256
209,chandauli/Q2733369
210,chandigarh/Q5071071
211,chandrapur/Q1797274
212,changlang/Q15427
213,charkhi dadri/Q28172110
214,chatra/Q1979499
215,chennai/Q15116
216,chhatarpur/Q2449785
217,chhindwara/Q1986096
218,chhota udaipur/Q5979243
219,chikkaballapura/Q1072629
220,chikkamagaluru/Q743077
221,chitradurga/Q165264
222,chitrakoot/Q2089141
223,chittoor/Q15213
224,chittorgarh/Q1075011
225,churu/Q1090006
226,coimbatore/Q15136
227,cooch behar/Q2728658
228,cuddalore/Q15150
229,cuttack/Q2022256
230,dadra and nagar haveli/Q46107
231,dahod/Q186518
232,dakshin bastar dantewada/Q100211
233,dakshin dinajpur/Q533839
234,dakshina kannada/Q950571
235,daman/Q1158197
236,damoh/Q2479331
237,dang/Q1135616
238,darbhanga/Q49160
239,darjeeling/Q1134759
240,datia/Q2206266
241,dausa/Q1173042
242,davanagere/Q1863214
243,dehradun/Q1815740
244,delhi/Q9872803
245,deogarh/Q2269639
246,deoghar/Q2030017
247,deoria/Q731746
248,devbhumi dwarka/Q14594717
249,dewas/Q2025998
250,dhalai/Q2086546
251,dhamtari/Q100190
252,dhanbad/Q2240791
253,dhar/Q2299069
254,dharmapuri/Q15152
255,dharwad/Q1790904
256,dhenkanal/Q1948389
257,dholpur/Q1207709
258,dhule/Q1797383
259,dimapur/Q634262
260,dindigul/Q15154
261,dindori/Q2398551
262,diu/Q631849
263,doda/Q2298979
264,dumka/Q2577657
265,dungarpur/Q1265687
266,durg/Q100182
267,east champaran/Q49159
268,east garo hills/Q2085455
269,east godavari/Q15338
270,east jaintia hills/Q15923776
271,east kameng/Q15424
272,east khasi hills/Q1945304
273,east siang/Q15419
274,east singhbhum/Q2452921
275,ernakulam/Q1356097
276,erode/Q15155
277,etah/Q1773429
278,etawah/Q1815288
