districtid,monthid,neighbormean,neighborstdev
101,1,0,0.0
101,2,8.6,13.74
101,3,157.8,228.69
101,4,112,50.78
101,5,237.6,52.33
101,6,559,259.18
101,7,155.2,126.54
102,1,0,0.0
102,2,4.44,9.13
102,3,72.56,48.38
102,4,387.33,400.28
102,5,479.11,364.1
102,6,804.33,443.62
102,7,156.33,109.82
103,1,0,0.0
103,2,9.57,10.34
103,3,82.43,68.85
103,4,145.43,111.88
103,5,568.71,335.95
103,6,643.86,430.51
103,7,112,80.73
104,1,0,0.0
104,2,85.71,84.29
104,3,2647.86,3500.21
104,4,7334,10367.43
104,5,21368.71,27721.02
104,6,25557.29,29468.52
104,7,5437.14,6720.71
105,1,0.29,0.49
105,2,6.14,15.82
105,3,195.14,486.55
105,4,1188.71,2627.44
105,5,4755,11964.12
105,6,10375.71,25784.6
105,7,2217.71,5589.34
106,1,0,0.0
106,2,22.83,37.88
106,3,358.5,388.62
106,4,398.67,502.02
106,5,881.67,786.33
106,6,1687.33,1860.8
106,7,377.17,607.71
107,1,0,0.0
107,2,3,4.36
107,3,81.67,102.26
107,4,205.67,124.56
107,5,998.33,490.7
107,6,2121.33,1018.76
107,7,504,116.67
108,1,0,0.0
108,2,3,3.46
108,3,30,7.35
108,4,226.25,46.81
108,5,1286,278.63
108,6,2929.25,974.27
108,7,652.5,202.59
109,1,0,0.0
109,2,5.88,8.51
109,3,77.62,99.67
109,4,426,589.57
109,5,766.38,887.44
109,6,1020.38,782.75
109,7,238.88,214.04
110,1,0.33,0.58
110,2,14,24.25
110,3,457.67,727.5
110,4,2547.67,3915.08
110,5,11076.33,18003.05
110,6,24415.67,38412.87
110,7,5377.33,8231.9
111,1,0,0.0
111,2,2.5,4.72
111,3,31.67,22.11
111,4,50.83,48.94
111,5,323.83,202.46
111,6,732.83,699.41
111,7,141.83,136.9
112,1,0,0.0
112,2,0,0.0
112,3,57.5,94.62
112,4,89.5,65.41
112,5,146.17,238.41
112,6,448.83,561.89
112,7,173.17,200.33
113,1,0,0.0
113,2,16.83,40.26
113,3,221.83,425.01
113,4,568.33,610.76
113,5,922.17,728.77
113,6,1616.83,1932.4
113,7,414.33,601.38
114,1,0,0.0
114,2,4.33,9.22
114,3,20.67,19.61
114,4,111.83,61.72
114,5,528.17,445.57
114,6,2051,1415.46
114,7,554.17,260.09
115,1,0,0.0
115,2,0.67,1.03
115,3,95.33,32.17
115,4,167.5,52.87
115,5,867,463.67
115,6,2551.67,2289.41
115,7,440.67,453.03
116,1,0,0.0
116,2,0.4,0.55
116,3,90.2,47.27
116,4,109.2,60.7
116,5,593.2,263.1
116,6,1645.8,639.93
116,7,356.8,153.01
117,1,0,0.0
117,2,8.5,12.76
117,3,161.5,199.66
117,4,253.6,357.0
117,5,746.2,989.61
117,6,3179.5,7077.07
117,7,1117.9,2502.9
118,1,0,0.0
118,2,5.6,5.59
118,3,47.8,16.98
118,4,86,59.65
118,5,771.8,575.92
118,6,1241.8,1072.63
118,7,244.6,272.33
119,1,0,0.0
119,2,8.67,5.51
119,3,100,66.01
119,4,60,23.0
119,5,203,71.08
119,6,1113,761.36
119,7,229.33,94.48
120,1,0,0.0
120,2,7.33,5.13
120,3,132.5,101.86
120,4,367.83,167.55
120,5,831.33,372.95
120,6,1388.67,1076.35
120,7,341.17,254.3
121,1,0,0.0
121,2,225.5,413.78
121,3,2497.5,4450.45
121,4,2556,4150.2
121,5,2266.25,2391.17
121,6,2405.75,2240.48
121,7,402,381.89
122,1,0,0.0
122,2,18.71,39.32
122,3,110.57,114.33
122,4,543.29,482.06
122,5,5768.43,5163.37
122,6,13714,11067.55
122,7,2524.14,1739.77
123,1,0,0.0
123,2,2.67,3.12
123,3,87.22,94.58
123,4,350.44,276.99
123,5,800.44,1182.2
123,6,912.33,1394.24
123,7,162.56,216.44
124,1,0,0.0
124,2,0.67,1.32
124,3,36.44,29.72
124,4,109.22,143.48
124,5,501.67,518.51
124,6,1970,1874.72
124,7,451.11,504.68
125,1,0,0.0
125,2,0,0.0
125,3,1,1.41
125,4,41,53.74
125,5,86.5,95.46
125,6,172.5,84.15
125,7,36.5,30.41
126,1,0,0.0
126,2,0.5,1.22
126,3,32.17,29.04
126,4,37,48.29
126,5,113.83,176.52
126,6,377.17,404.73
126,7,212.83,306.22
127,1,0,0.0
127,2,0.5,0.58
127,3,75,8.04
127,4,153.75,49.85
127,5,653.5,173.78
127,6,1784.5,713.52
127,7,287.5,89.16
128,1,0,0.0
128,2,4.5,9.14
128,3,234.33,185.78
128,4,130,129.23
128,5,412.17,261.95
128,6,573,366.65
128,7,94.33,56.03
129,1,0,0.0
129,2,0.75,0.96
129,3,160.25,188.57
129,4,394.75,276.67
129,5,2024.5,1298.32
129,6,4095.25,3136.96
129,7,886.5,924.05
130,1,0,0.0
130,2,9.83,10.65
130,3,122,59.57
130,4,191.33,144.87
130,5,2386.83,2811.22
130,6,3719.67,4212.18
130,7,369.67,444.96
131,1,0,0.0
131,2,0,0.0
131,3,39,71.7
131,4,50.8,79.87
131,5,242.4,109.93
131,6,596.8,267.91
131,7,151.6,94.92
132,1,0.03,0.17
132,2,0.03,0.17
132,3,6.09,16.91
132,4,66.3,204.75
132,5,153.7,285.96
132,6,399.67,769.32
132,7,94.88,190.62
133,1,0,0.0
133,2,0.75,0.96
133,3,40,14.9
133,4,152.25,83.83
133,5,359.25,190.45
133,6,988.25,285.56
133,7,196,83.79
134,1,0,0.0
134,2,7.5,15.0
134,3,73.25,63.11
134,4,91,50.34
134,5,1103.25,813.64
134,6,1720,842.35
134,7,173,61.65
135,1,0,0.0
135,2,18.6,27.85
135,3,352.2,392.02
135,4,1339.8,1474.57
135,5,4854.2,4146.19
135,6,12755.8,9459.78
135,7,2497,1774.63
136,1,0,0.0
136,2,0.17,0.41
136,3,110,45.46
136,4,126.33,47.25
136,5,453.33,255.83
136,6,1419.83,696.71
136,7,252.33,128.43
137,1,0,0.0
137,2,0.83,1.33
137,3,90.5,50.41
137,4,182.17,112.96
137,5,831.17,629.34
137,6,2253.33,2428.32
137,7,388,458.34
138,1,0,0.0
138,2,4,6.36
138,3,84.4,82.3
138,4,187.6,85.21
138,5,1875.4,816.6
138,6,5403.6,2114.36
138,7,1109,542.45
139,1,0,0.0
139,2,0,0.0
139,3,32,26.29
139,4,72.67,35.95
139,5,74,54.11
139,6,240,38.11
139,7,99.33,69.26
140,1,16.14,42.71
140,2,489,1281.43
140,3,2460.57,6116.56
140,4,10118,25314.24
140,5,8026,17760.17
140,6,7213.86,14112.02
140,7,2409.86,4870.23
141,1,0,0.0
