districtid,overallid,neighbormean,neighborstdev
101,1,1230.2,571.45
102,1,1904.11,989.47
103,1,1562,940.38
104,1,62430.71,74101.1
105,1,18738.71,46451.33
106,1,3726.17,4044.11
107,1,3914,1825.14
108,1,5127,1363.67
109,1,2535.12,2522.1
110,1,43889,69311.89
111,1,1283.5,978.19
112,1,915.17,1147.6
113,1,3760.33,4079.97
114,1,3270.17,2138.76
115,1,4122.83,3227.61
116,1,2795.6,1111.77
117,1,5467.2,10878.31
118,1,2397.6,1960.79
119,1,1714,944.25
120,1,3068.83,1705.97
121,1,10353,13647.9
122,1,22679.14,18120.64
123,1,2315.67,2950.09
124,1,3069.11,2983.13
125,1,337.5,265.17
126,1,773.5,933.15
127,1,2954.75,1016.31
128,1,1448.33,884.83
129,1,7562,5009.26
130,1,6799.33,7640.96
131,1,1080.6,449.11
132,1,720.7,1387.01
133,1,1736.5,485.11
134,1,3168,1788.37
135,1,21817.6,16824.64
136,1,2362,1102.9
137,1,3746,3492.77
138,1,8664,3150.64
139,1,518,192.47
140,1,30733.43,69472.55
141,1,2527.6,1201.7
142,1,6293.43,13201.12
143,1,1573.67,939.52
144,1,3817,2405.03
145,1,16742.38,18275.62
146,1,3348.71,944.93
147,1,2229,1881.7
148,1,3405.29,5402.85
149,1,936.88,466.48
150,1,1975.67,1081.2
151,1,4185.67,5765.0
152,1,1287,317.16
153,1,726.14,358.27
154,1,3606.2,3571.62
155,1,2179.17,1926.82
156,1,3846,2873.43
157,1,910.83,320.54
158,1,6529,10954.88
159,1,3522.2,3669.09
160,1,1977,2312.01
161,1,3226.2,1058.28
162,1,1673.57,919.03
163,1,4035,5070.02
164,1,3853.4,4448.99
165,1,7740.67,11678.76
166,1,1559.33,1426.81
167,1,2408.6,1059.4
168,1,1327,340.9
169,1,12235.5,9568.78
170,1,6493,8849.4
171,1,11522.11,7948.92
172,1,27766,57271.24
173,1,3908.33,1556.5
174,1,1655.6,2283.79
175,1,6530,4447.45
176,1,3239,1189.99
177,1,2495.62,1448.86
178,1,8623.2,15430.06
179,1,2575.71,2663.79
180,1,7888.25,9809.22
181,1,10710,16858.78
182,1,1559.83,1435.98
183,1,2956.71,1903.04
184,1,1582.86,1167.77
185,1,6682.83,7739.94
186,1,759.4,244.75
187,1,35351.6,57637.62
188,1,28191.8,61604.56
189,1,3568.75,1779.23
190,1,2967.17,4844.5
191,1,841.33,446.21
192,1,854.2,478.74
193,1,2128,1731.79
194,1,2297.8,634.27
195,1,8272,12357.52
196,1,1954.2,958.62
197,1,3674.38,2209.73
198,1,3294.33,3354.93
199,1,3781.2,3022.0
200,1,7358.14,10444.37
201,1,2087.8,2281.93
202,1,8618.2,12490.91
203,1,3384.4,1271.26
204,1,6120.89,6680.72
205,1,719.83,527.68
206,1,592.83,298.71
207,1,2193.5,1927.34
208,1,2508,3801.16
209,1,3426.2,3277.04
210,1,3661.5,1044.4
211,1,30398.17,54653.64
212,1,24907,55351.66
213,1,2096.5,860.4
214,1,4054.4,3824.2
215,1,22062,5593.21
216,1,1338.75,1449.55
217,1,7342,14258.3
218,1,2659.83,3038.24
219,1,20526.4,20597.69
220,1,9772.43,3575.08
221,1,18185.4,16346.61
222,1,2719.17,4205.33
223,1,19952.12,16340.95
224,1,1932.25,1787.09
225,1,2172.67,1509.76
226,1,3958.71,1899.71
227,1,43565.67,69595.25
228,1,6321.71,4399.42
229,1,4993.88,6397.63
230,1,14264,18727.02
231,1,771.83,426.13
232,1,641.4,220.43
233,1,3798,1895.05
234,1,6920,4247.83
235,1,1022,0
236,1,1325.83,1672.57
237,1,13630.25,20675.35
238,1,4311,1448.92
239,1,2263,1285.66
240,1,2881.4,2456.07
241,1,4215.33,4679.65
242,1,9384.2,8174.08
243,1,2069.86,2007.53
244,1,7349.29,5111.46
245,1,3055.33,1836.71
246,1,1409,773.87
247,1,4358.5,3149.04
248,1,1804,2081.72
249,1,2777.86,4601.06
250,1,1240,384.67
251,1,3375.71,5530.58
252,1,2178.4,1367.46
253,1,2929.29,4523.21
254,1,6574,4464.44
255,1,7820,4262.02
256,1,4455.25,3950.85
257,1,2334.25,1294.03
258,1,13260,19185.53
259,1,41839,71088.25
260,1,7064,5719.02
261,1,1096,1761.37
262,1,1046,0
263,1,992.17,764.14
264,1,1253.33,731.4
265,1,950.6,890.33
266,1,4065,6482.82
267,1,3392,2041.07
268,1,133,193.32
269,1,44687.6,55975.28
270,1,61978.5,87602.75
271,1,463.8,697.24
272,1,94.75,128.31
273,1,24847.4,55384.95
274,1,1994.5,1847.34
275,1,7246.2,6375.57
276,1,5507.62,6313.34
277,1,1565.5,770.71
278,1,1649.71,673.05
279,1,52828.75,90360.06
280,1,1910.25,720.87
281,1,1969.57,984.31
282,1,1483.5,965.8
283,1,5287.6,4230.35
284,1,3267.88,5374.99
285,1,1083.25,695.06
286,1,2173.14,2378.9
287,1,2013,816.97
288,1,11626.17,6756.91
289,1,18837.88,48320.93
290,1,13320.25,11614.84
291,1,3965.75,3986.68
292,1,6820.6,13060.9
293,1,2075.33,2309.58
294,1,10114.17,10873.51
295,1,1930.6,1580.52
296,1,3425.17,5924.79
297,1,31670.14,69156.52
298,1,2266.78,1103.74
299,1,40874.4,82403.66
300,1,3629.5,2468.06
301,1,1191.67,856.6
302,1,1905,809.58
303,1,7186,6382.43
304,1,1982.8,2253.27
305,1,1367.5,409.34
306,1,2440,1259.74
307,1,1480.75,1187.79
308,1,4459,1168.23
309,1,2703.25,1105.11
310,1,2159.71,3641.8
311,1,2419,3820.64
312,1,61405.67,66865.02
313,1,2081.2,1453.15
314,1,34900.67,75246.46
315,1,1188.75,673.91
316,1,604.75,290.96
317,1,3868.57,5731.36
318,1,1778.89,1257.34
