districtid,weekid,neighbormean,neighborstdev
101,1,0,0.0
101,2,0,0.0
101,3,0,0.0
101,4,0,0.0
101,5,0,0.0
101,6,0,0.0
101,7,11,17.22
101,8,19,34.26
101,9,15,30.26
101,10,50.4,103.27
101,11,65.6,88.42
101,12,37.4,28.87
101,13,28.8,18.51
101,14,30.4,21.61
101,15,15.6,6.11
101,16,11.8,9.34
101,17,22.2,15.74
101,18,61.4,39.8
101,19,70.6,44.26
101,20,90,30.68
101,21,98.8,63.55
101,22,114.8,48.93
101,23,127.2,50.87
101,24,135,52.87
101,25,225.2,181.38
102,1,0,0.0
102,2,0,0.0
102,3,0,0.0
102,4,0,0.0
102,5,0,0.0
102,6,0,0.0
102,7,9.78,17.06
102,8,11.78,18.42
102,9,5.33,5.5
102,10,16.89,13.86
102,11,27.78,29.44
102,12,63.22,117.47
102,13,69.44,97.91
102,14,98.44,116.99
102,15,111.78,85.09
102,16,109.67,108.66
102,17,99.89,106.49
102,18,96.33,77.33
102,19,122.44,89.59
102,20,123.89,86.37
102,21,161.78,79.28
102,22,177.44,110.82
102,23,202.67,142.17
102,24,180,138.16
102,25,215.56,141.52
103,1,0,0.0
103,2,0,0.0
103,3,0,0.0
103,4,0,0.0
103,5,0,0.0
103,6,0,0.0
103,7,14.57,14.84
103,8,24.71,18.95
103,9,16,16.16
103,10,17.71,15.4
103,11,15.71,16.17
103,12,34.43,48.17
103,13,24.57,16.91
103,14,29,27.35
103,15,38.86,23.33
103,16,59.29,22.32
103,17,105.43,72.42
103,18,147.14,95.49
103,19,139.86,82.04
103,20,166.43,88.98
103,21,164,97.41
103,22,138.71,84.87
103,23,129.14,98.25
103,24,135,113.12
103,25,161.43,114.84
104,1,0,0.0
104,2,0,0.0
104,3,0,0.0
104,4,0,0.0
104,5,0,0.0
104,6,0,0.0
104,7,143.43,135.5
104,8,383.86,463.79
104,9,550.71,666.1
104,10,668.71,930.93
104,11,852.57,1214.65
104,12,891.57,1229.59
104,13,1276.71,1773.19
104,14,1634.57,2243.36
104,15,2398.29,3498.69
104,16,3408,4944.78
104,17,4068.29,5565.97
104,18,4778.57,6350.29
104,19,5823.71,7904.08
104,20,5245.86,6819.51
104,21,5315.14,6317.9
104,22,5722.57,5934.01
104,23,6052,6812.29
104,24,6011.29,7498.28
104,25,7204.86,8691.32
105,1,0,0.0
105,2,0.14,0.38
105,3,3.86,9.77
105,4,0.43,1.13
105,5,0.86,2.27
105,6,0.14,0.38
105,7,1,2.65
105,8,2.71,7.18
105,9,5.14,11.55
105,10,39.43,94.97
105,11,128.71,327.08
105,12,193.86,470.18
105,13,255.29,527.17
105,14,242.43,504.91
105,15,318.43,711.97
105,16,581.86,1437.55
105,17,764.29,1901.22
105,18,1031.14,2594.68
105,19,1200.14,3046.58
105,20,1603.14,3990.73
105,21,2416.57,5993.21
105,22,2667.57,6697.89
105,23,2102.57,5213.7
105,24,2169.14,5369.42
105,25,3009.86,7556.17
106,1,0,0.0
106,2,0,0.0
106,3,0,0.0
106,4,0,0.0
106,5,0,0.0
106,6,0,0.0
106,7,32.17,59.54
106,8,50.67,91.91
106,9,75.33,121.26
106,10,108.33,78.86
106,11,104.83,89.92
106,12,77.5,85.57
106,13,93.33,124.09
106,14,97,110.7
106,15,113.67,162.77
106,16,83.17,91.19
106,17,164.83,146.97
106,18,188.83,182.1
106,19,233.17,212.84
106,20,273.5,250.58
106,21,332,280.83
106,22,302,280.61
106,23,420,475.82
106,24,461.67,619.4
106,25,514.17,802.74
107,1,0,0.0
107,2,0,0.0
107,3,0,0.0
107,4,0,0.0
107,5,0,0.0
107,6,0,0.0
107,7,4,6.08
107,8,17.67,28.94
107,9,8,10.39
107,10,24,26.29
107,11,25.33,29.02
107,12,35,37.99
107,13,36.33,8.39
107,14,49.67,27.59
107,15,55.33,31.64
107,16,81.33,58.05
107,17,103.67,57.83
107,18,186.67,118.49
107,19,370.33,162.43
107,20,345,219.13
107,21,458,171.61
107,22,488,213.0
107,23,456.33,274.62
107,24,527,245.77
107,25,642.33,185.27
108,1,0,0.0
108,2,0,0.0
108,3,0,0.0
108,4,0,0.0
108,5,0,0.0
108,6,0,0.0
108,7,3,3.46
108,8,0.25,0.5
108,9,1.5,0.58
108,10,7.75,4.27
108,11,17.75,3.2
108,12,37.5,15.8
108,13,30.5,7.72
108,14,60.5,11.56
108,15,80.5,8.7
108,16,69.25,19.36
108,17,113.25,41.52
108,18,271,122.22
108,19,468.25,210.36
108,20,440.75,48.04
108,21,387.5,239.36
108,22,467.5,209.88
108,23,744.75,287.21
108,24,955,210.74
108,25,970.5,288.62
109,1,0,0.0
109,2,0,0.0
109,3,0,0.0
109,4,0,0.0
109,5,0,0.0
109,6,0,0.0
109,7,10,14.18
109,8,14.75,23.22
109,9,10.75,12.21
109,10,19,23.83
109,11,20.38,23.49
109,12,52.25,68.76
109,13,81,95.64
109,14,119.75,143.86
109,15,131.75,232.09
109,16,121.12,184.67
109,17,167.75,222.7
109,18,182.25,211.01
109,19,180.75,182.13
109,20,194.62,206.82
109,21,192.62,151.64
109,22,210,159.37
109,23,228.75,192.12
109,24,277.12,203.06
109,25,320.5,277.21
110,1,0,0.0
110,2,0,0.0
110,3,8.67,15.01
110,4,1,1.73
110,5,2,3.46
110,6,0.33,0.58
110,7,2.33,4.04
110,8,6,11.27
110,9,10.33,17.9
110,10,84.67,146.65
110,11,303.67,490.59
110,12,461.33,690.7
