districtid,monthid,statemean,statestdev
101,1,0,0.0
101,2,10.47,45.15
101,3,107.16,312.76
101,4,107.86,248.91
101,5,355.76,638.63
101,6,628.39,1041.38
101,7,154.51,249.95
102,1,0,0.0
102,2,3.27,7.39
102,3,73.65,66.28
102,4,203.74,276.74
102,5,829.7,1036.85
102,6,1944.01,2615.13
102,7,391.24,548.67
103,1,0,0.0
103,2,7.78,18.48
103,3,100.94,211.67
103,4,220.16,585.93
103,5,724.03,1450.81
103,6,935.66,1445.81
103,7,179.34,277.84
104,1,0,0.0
104,2,71.26,283.95
104,3,1677.82,5759.09
104,4,3140.15,8114.67
104,5,7139.38,15349.61
104,6,10425.09,16372.3
104,7,2575.79,3756.82
105,1,0,0.0
105,2,0,0.0
105,3,0,0.0
105,4,16.57,14.64
105,5,8.29,8.58
105,6,34,58.13
105,7,2,2.58
106,1,0,0.0
106,2,11.56,30.78
106,3,187.28,264.39
106,4,278,377.57
106,5,705.53,942.54
106,6,1167.5,1412.21
106,7,227.25,330.52
107,1,0,0.0
107,2,71.15,283.98
107,3,1664.09,5762.43
107,4,3121.29,8120.65
107,5,7235.03,15320.66
107,6,10847.18,16314.17
107,7,2669.59,3742.05
108,1,0,0.0
108,2,2.23,2.31
108,3,56.15,40.7
108,4,224.62,104.11
108,5,1365.15,928.19
108,6,3671.23,2763.34
108,7,681.46,438.21
109,1,0,0.0
109,2,4.27,12.9
109,3,77.64,77.04
109,4,203.66,276.7
109,5,825.38,1037.26
109,6,1919.43,2614.43
109,7,386.92,547.31
110,1,0,0.0
110,2,0,0.0
110,3,229.59,447.08
110,4,585.09,908.52
110,5,2339.27,3987.33
110,6,4130.91,4930.1
110,7,650.73,754.36
111,1,0,0.0
111,2,10.49,45.15
111,3,107.18,312.75
111,4,107.9,248.89
111,5,353.94,639.33
111,6,622.33,1043.52
111,7,153.1,250.43
112,1,0,0.0
112,2,0.5,1.17
112,3,65.67,79.67
112,4,155.08,135.68
112,5,348,439.3
112,6,1031.83,1127.11
112,7,329.75,329.4
113,1,0,0.0
113,2,12.34,30.85
113,3,191.91,263.09
113,4,268.69,376.3
113,5,644.59,819.6
113,6,1118.91,1344.62
113,7,223.31,327.61
114,1,0,0.0
114,2,2,5.44
114,3,80.52,162.66
114,4,580.57,1162.69
114,5,913.95,1219.56
114,6,1309.67,961.42
114,7,427.95,297.41
115,1,0,0.0
115,2,4.57,13.06
115,3,78.41,77.17
115,4,207.59,276.62
115,5,835.62,1034.07
115,6,1950.76,2612.25
115,7,395.16,547.66
116,1,0,0.0
116,2,4.57,13.06
116,3,77.27,76.78
116,4,206.5,277.07
116,5,834.99,1034.49
116,6,1948.59,2613.32
116,7,393.22,548.43
117,1,0,0.0
117,2,71.21,283.97
117,3,1674.29,5760.06
117,4,3139.29,8114.98
117,5,7222.94,15325.51
117,6,10791.97,16344.15
117,7,2666.53,3743.87
118,1,0,0.0
118,2,34.19,149.1
118,3,386.69,1613.71
118,4,490.72,1613.93
118,5,887.59,1685.64
118,6,1065.97,1614.27
118,7,200.97,300.67
119,1,0,0.0
119,2,6.19,10.55
119,3,68.95,41.87
119,4,131.95,171.25
119,5,457.1,583.95
119,6,1699.9,1786.62
119,7,330.14,302.3
120,1,0,0.0
120,2,4.55,13.06
120,3,78.77,77.03
120,4,207.27,276.79
120,5,831.16,1036.41
120,6,1944.53,2614.96
120,7,394.12,548.14
121,1,0,0.0
121,2,33.41,149.21
121,3,386.22,1613.82
121,4,489.25,1614.3
121,5,891.31,1684.32
