districtid,overallid,statemean,statestdev
101,1,1364.16,2422.67
102,1,3445.62,4295.44
103,1,2167.91,3904.45
104,1,25029.5,44986.0
105,1,60.86,64.12
106,1,2577.12,3078.68
107,1,25608.32,44837.49
108,1,6000.85,4058.2
109,1,3417.3,4291.88
110,1,7935.59,10833.28
111,1,1354.94,2426.18
112,1,1930.83,2017.92
113,1,2459.75,2925.49
114,1,3314.67,3537.47
115,1,3472.11,4285.91
116,1,3465.14,4289.63
117,1,25566.24,44857.39
118,1,3066.12,6299.87
119,1,2694.24,2788.64
120,1,3460.41,4291.66
121,1,3086,6293.46
122,1,36570.42,12679.31
123,1,2066.68,2223.98
124,1,4102.55,4685.67
125,1,202.54,342.38
126,1,1359.06,2424.84
127,1,3837.73,3418.54
128,1,3096.78,6289.08
129,1,12582.72,23998.7
130,1,3896.65,3394.2
131,1,1363.25,2423.1
132,1,0,0
133,1,3466.28,4289.08
134,1,3855.27,3415.46
135,1,25012.41,44986.3
136,1,3432.86,4295.6
137,1,3438.73,4295.88
138,1,13167.45,25809.34
139,1,1967.17,1989.69
140,1,3472.23,4285.84
141,1,3454.5,4293.63
142,1,1361.65,2423.81
143,1,4073.69,4701.75
144,1,3997.17,4717.66
145,1,12597.31,25758.0
146,1,3427.36,4294.77
147,1,1627.62,2998.38
148,1,1612.19,3002.4
149,1,1638.69,2994.11
150,1,3470.12,4287.06
151,1,1634.54,2995.85
152,1,3072.34,6298.09
153,1,3470.82,4286.66
154,1,2079.58,2225.55
155,1,3886.16,3401.46
156,1,7916.64,10842.54
157,1,2696.19,3074.46
158,1,3429.47,4295.15
159,1,2041.68,2216.44
160,1,2691.84,3077.37
161,1,3387.61,4272.85
162,1,4037.62,4714.07
163,1,2643.03,3095.68
164,1,2853.29,2799.54
165,1,1344.9,2427.88
166,1,1614.12,3002.02
167,1,3449.81,4294.76
168,1,2778.52,2820.35
169,1,25575,44853.36
170,1,3783.84,3405.97
171,1,12915.31,25834.91
172,1,13211.97,25796.87
173,1,8416.72,5192.19
174,1,1353,2426.68
175,1,3469.03,4287.66
176,1,4032.66,4715.09
177,1,3774.68,3400.51
178,1,25688.94,44795.38
179,1,2601.59,3090.59
180,1,3059.09,6301.62
181,1,3015.88,6306.53
182,1,2646.12,3095.3
183,1,1355.76,2425.94
184,1,3446.19,3522.63
185,1,3834.97,3418.7
186,1,1152.35,1996.07
187,1,13236.24,25789.06
188,1,1630.38,2997.42
189,1,3458.18,4292.48
190,1,2568.38,3072.79
191,1,1552.23,2996.89
192,1,599.73,468.92
193,1,7950.64,10825.36
194,1,2067.39,2437.75
195,1,3094.06,6290.25
196,1,4114.69,4677.24
197,1,3461.43,4291.25
198,1,2049.21,2219.34
199,1,3451.47,4294.41
200,1,25618.76,44832.34
201,1,2693.97,3075.97
202,1,1357.16,2425.5
203,1,3853.11,3416.03
204,1,13313.83,25759.32
205,1,590.91,472.34
206,1,1959.33,1996.6
207,1,1959.33,1996.6
208,1,148,219.43
209,1,3455.89,4293.22
210,1,0,0
211,1,25629.32,44827.03
212,1,182.83,336.58
213,1,3508.33,3475.83
214,1,2123.13,2424.06
215,1,8297.44,5909.33
216,1,1354.84,2426.21
217,1,1358.63,2425.0
218,1,3099.94,6287.68
219,1,13238.45,25788.32
220,1,13232.66,25790.26
221,1,13277.79,25774.04
222,1,3474.62,4284.36
223,1,36814.83,12811.83
224,1,2684.56,3081.78
225,1,2682.09,3083.14
226,1,12106.44,24033.42
227,1,7891.5,10853.58
228,1,12251,24056.86
