districtid,weekid,statemean,statestdev
101,1,0,0.0
101,2,0,0.0
101,3,0,0.0
101,4,0,0.0
101,5,0,0.0
101,6,0,0.0
101,7,13.67,53.71
101,8,13.14,41.88
101,9,26.14,90.5
101,10,31,89.21
101,11,29.8,79.51
101,12,26.2,59.9
101,13,27.69,70.8
101,14,21.22,55.94
101,15,24.33,54.06
101,16,32.14,68.4
101,17,50.75,101.6
101,18,89.1,162.39
101,19,100.63,180.7
101,20,111.24,216.52
101,21,108.45,200.94
101,22,122.39,205.0
101,23,145.16,242.5
101,24,176.14,275.91
101,25,215,354.0
102,1,0,0.0
102,2,0,0.0
102,3,0,0.0
102,4,0,0.0
102,5,0,0.0
102,6,0,0.0
102,7,6.08,11.5
102,8,9.18,18.87
102,9,11.11,14.23
102,10,23.24,21.89
102,11,22.35,19.38
102,12,31.59,34.0
102,13,39.61,49.5
102,14,52.76,70.61
102,15,58.99,102.82
102,16,66.53,108.29
102,17,113.85,174.17
102,18,160.09,216.49
102,19,223.97,318.38
102,20,339.04,391.76
102,21,388.72,543.49
102,22,429.81,612.88
102,23,435.14,611.69
102,24,496,639.37
102,25,537.57,752.62
103,1,0,0.0
103,2,0,0.0
103,3,0,0.0
103,4,0,0.0
103,5,0,0.0
103,6,0,0.0
103,7,12.22,28.61
103,8,23.28,44.51
103,9,18.38,41.49
103,10,25.59,48.81
103,11,24.97,58.81
103,12,36.34,92.48
103,13,34.59,90.66
103,14,43.25,107.47
103,15,72.62,210.07
103,16,98.66,259.74
103,17,138.16,328.25
103,18,162.78,325.27
103,19,183.44,345.18
103,20,209.47,347.64
103,21,197.41,314.29
103,22,205.41,317.79
103,23,212.69,323.53
103,24,220.25,347.59
103,25,248.41,381.13
104,1,0,0.0
104,2,0,0.0
104,3,0,0.0
104,4,0,0.0
104,5,0,0.0
104,6,0,0.0
104,7,124.12,506.08
104,8,232.53,794.61
104,9,307.65,1015.9
104,10,484.62,1791.05
104,11,527.38,1720.41
104,12,520.94,1609.15
104,13,633.53,1808.07
104,14,693.15,1797.88
104,15,908.91,2270.22
104,16,1197.71,2866.88
104,17,1358.47,3138.46
104,18,1583.41,3516.65
104,19,1874.47,4178.85
104,20,1849.47,3650.52
104,21,1999.62,3464.0
104,22,2283.06,3411.67
104,23,2461.76,3842.23
104,24,2603.35,4120.58
104,25,3385.35,4872.34
105,1,0,0.0
105,2,0,0.0
105,3,0,0.0
105,4,0,0.0
105,5,0,0.0
105,6,0,0.0
105,7,0,0.0
105,8,0,0.0
105,9,0,0.0
105,10,0,0.0
105,11,0,0.0
105,12,0.43,0.79
105,13,10.57,14.71
105,14,3.57,3.1
105,15,0.57,0.53
105,16,1.86,3.24
105,17,3,3.27
105,18,3.14,3.02
105,19,1.57,2.94
105,20,0.43,0.98
105,21,7.14,10.27
105,22,10.71,22.0
105,23,10.57,20.66
105,24,4.29,5.85
105,25,3,4.4
106,1,0,0.0
106,2,0,0.0
106,3,0,0.0
106,4,0,0.0
106,5,0,0.0
106,6,0,0.0
106,7,16.97,49.54
106,8,26.5,62.98
106,9,37.41,72.39
106,10,54.59,70.18
106,11,56.88,73.99
106,12,52.47,86.38
106,13,61.88,101.55
106,14,65.28,89.35
106,15,72.97,99.07
106,16,77.5,81.74
106,17,125.91,167.02
106,18,139.03,197.76
106,19,197.44,298.26
106,20,232.81,313.55
106,21,235.38,277.3
106,22,253.16,278.47
106,23,271.91,334.93
106,24,283.88,414.76
106,25,315.19,447.92
107,1,0,0.0
107,2,0,0.0
107,3,0,0.0
107,4,0,0.0
107,5,0,0.0
107,6,0,0.0
107,7,123.71,506.18
107,8,230.29,795.11
107,9,305.26,1016.51
107,10,480.59,1792.01
107,11,522.62,1721.57
107,12,517.74,1609.93
107,13,628.15,1809.58
107,14,689.15,1799.22
107,15,904.32,2271.81
107,16,1196.12,2867.46
107,17,1360.26,3137.81
107,18,1590.53,3514.0
107,19,1913.09,4170.02
107,20,1910.53,3641.36
107,21,2088.12,3456.98
107,22,2391.68,3405.93
107,23,2555.44,3824.91
107,24,2703.5,4104.78
107,25,3497.24,4848.78
108,1,0,0.0
108,2,0,0.0
108,3,0,0.0
108,4,0,0.0
108,5,0,0.0
108,6,0,0.0
108,7,2.38,2.33
108,8,0.46,0.97
108,9,6.15,6.3
108,10,15.08,13.64
108,11,30.08,23.95
108,12,42.85,22.28
108,13,42.62,29.64
108,14,45.62,19.95
108,15,71.08,36.42
108,16,80.31,49.17
108,17,154.69,112.62
108,18,297.85,288.66
108,19,456.92,326.17
108,20,483.77,299.47
108,21,590.46,513.54
108,22,696.77,586.04
108,23,955.77,867.48
108,24,1080.77,684.36
108,25,947.23,578.94
109,1,0,0.0
109,2,0,0.0
109,3,0,0.0
109,4,0,0.0
109,5,0,0.0
109,6,0,0.0
109,7,7.92,21.54
109,8,11.78,29.75
109,9,11.81,15.46
109,10,23.03,21.65
109,11,22.43,19.4
109,12,31.92,34.2
109,13,39.8,49.65
109,14,52.93,70.74
109,15,58.31,102.72
109,16,65.99,108.11
109,17,113.35,174.12
109,18,159.2,216.61
109,19,222.8,318.55
109,20,337.54,392.02
109,21,384.55,543.55
109,22,425.54,613.25
109,23,429.18,611.85
109,24,488.38,638.32
109,25,530.84,750.41
110,1,0,0.0
110,2,0,0.0
110,3,0,0.0
110,4,0,0.0
110,5,0,0.0
110,6,0,0.0
110,7,0,0.0
110,8,62.86,164.91
110,9,35.73,83.43
110,10,39.27,82.79
