monthid,method,spot,districtid1,districtid2,districtid3,districtid4,districtid5
1,neighborhood,hot,132,469,171,289,446
1,neighborhood,cold,539,270,647,105,407
1,state,hot,-,-,-,-,-
1,state,cold,-,-,-,-,-
2,neighborhood,hot,244,132,215,378,103
2,neighborhood,cold,322,548,120,568,709
2,state,hot,215,574,103,483,334
2,state,cold,108,275,420,533,673
3,neighborhood,hot,186,658,103,132,244
3,neighborhood,cold,381,233,481,127,336
3,state,hot,548,215,103,483,334
3,state,cold,616,333,650,544,709
4,neighborhood,hot,173,303,103,215,658
4,neighborhood,cold,456,194,481,596,358
4,state,hot,215,548,103,173,632
4,state,cold,262,650,712,333,709
5,neighborhood,hot,132,173,186,658,448
5,neighborhood,cold,691,692,646,456,101
5,state,hot,173,548,272,528,105
5,state,cold,262,691,709,544,422
6,neighborhood,hot,173,721,132,658,448
6,neighborhood,cold,381,440,692,616,456
6,state,hot,721,173,548,562,215
6,state,cold,262,422,432,213,401
7,neighborhood,hot,132,721,173,658,346
7,neighborhood,cold,381,245,456,545,385
7,state,hot,548,721,173,105,562
7,state,cold,262,422,333,213,432
