districtid,monthid,neighborhoodzscore,statezscore
101,1,0.0,0.0
101,2,-0.55,-0.21
101,3,-0.69,-0.34
101,4,-2.15,-0.42
101,5,-3.22,-0.45
101,6,-1.73,-0.5
101,7,-0.95,-0.48
102,1,0.0,0.0
102,2,10.03,12.55
102,3,7.06,5.14
102,4,-0.12,0.49
102,5,0.25,-0.25
102,6,0.66,-0.32
102,7,2.21,0.01
103,1,0.0,0.0
103,2,80.8,45.3
103,3,131.76,42.77
103,4,76.76,14.53
103,5,14.99,3.36
103,6,10.12,2.81
103,7,8.92,2.35
104,1,0.0,0.0
104,2,-0.95,-0.23
104,3,-0.73,-0.28
104,4,-0.68,-0.35
104,5,-0.62,-0.18
104,6,-0.34,0.32
104,7,-0.27,0.28
105,1,-0.59,0.0
105,2,-0.39,0.0
105,3,-0.4,0.0
105,4,-0.44,1.4
105,5,-0.38,21.18
105,6,-0.39,5.64
105,7,-0.39,13.57
106,1,0.0,0.0
106,2,0.11,0.5
106,3,-0.43,0.02
106,4,-0.45,-0.28
106,5,0.69,0.76
106,6,0.29,0.75
106,7,0.03,0.52
107,1,0.0,0.0
107,2,1.61,-0.22
107,3,4.53,-0.19
107,4,5.99,-0.27
107,5,0.12,-0.4
107,6,-0.83,-0.59
107,7,-0.42,-0.59
108,1,0.0,0.0
108,2,-0.87,-0.97
108,3,1.63,-0.35
108,4,0.57,0.27
108,5,0.5,0.06
108,6,1.15,0.14
108,7,-0.68,-0.38
109,1,0.0,0.0
109,2,1.89,1.37
109,3,0.42,0.54
109,4,-0.14,0.51
109,5,0.14,0.06
109,6,2.42,0.38
109,7,2.24,0.61
110,1,-0.57,0.0
110,2,-0.58,0.0
110,3,-0.62,-0.5
110,4,-0.61,-0.45
110,5,-0.61,-0.55
110,6,-0.59,-0.49
110,7,-0.58,-0.06
111,1,0.0,0.0
111,2,-0.53,-0.23
111,3,-1.43,-0.34
111,4,-1.02,-0.43
111,5,-0.8,-0.3
111,6,-0.45,-0.19
111,7,-0.25,-0.18
112,1,0.0,0.0
112,2,0.0,-0.43
112,3,0.05,-0.05
112,4,0.36,-0.31
112,5,-0.08,-0.51
112,6,-0.33,-0.68
112,7,0.02,-0.46
113,1,0.0,0.0
113,2,-0.37,-0.34
113,3,-0.42,-0.56
113,4,-0.16,0.54
113,5,3.36,3.33
113,6,1.12,1.98
113,7,0.18,0.92
114,1,0.0,0.0
114,2,-0.36,-0.18
114,3,0.99,-0.25
114,4,2.48,-0.27
114,5,1.56,0.25
114,6,0.18,1.03
114,7,-0.0,0.42
115,1,0.0,0.0
115,2,-0.65,-0.35
115,3,-1.04,-0.21
115,4,-2.13,-0.55
115,5,-1.58,-0.68
115,6,-0.85,-0.52
115,7,-0.73,-0.52
116,1,0.0,0.0
116,2,-0.73,-0.35
116,3,1.18,0.9
116,4,0.44,-0.25
116,5,-1.57,-0.63
116,6,-1.39,-0.46
116,7,-0.68,-0.26
117,1,0.0,0.0
117,2,-0.04,-0.22
117,3,0.18,-0.26
117,4,0.24,-0.34
117,5,0.73,-0.38
117,6,-0.0,-0.47
117,7,-0.22,-0.56
118,1,0.0,0.0
118,2,-1.0,-0.23
118,3,-2.23,-0.23
118,4,-0.18,-0.26
118,5,-0.7,-0.31
118,6,-0.38,-0.14
118,7,-0.38,-0.2
119,1,0.0,0.0
119,2,3.51,2.07
119,3,3.56,6.35
119,4,20.61,2.35
119,5,10.54,0.85
119,6,1.39,0.27
119,7,3.94,0.9
120,1,0.0,0.0
120,2,-1.23,-0.27
120,3,-0.96,-0.57
120,4,-1.72,-0.46
120,5,-0.99,-0.36
120,6,-0.31,-0.34
120,7,-0.61,-0.38
121,1,0.0,0.0
121,2,-0.48,-0.06
121,3,-0.56,-0.22
121,4,-0.59,-0.23
121,5,-0.84,-0.38
121,6,-0.93,-0.47
121,7,-0.92,-0.51
122,1,0.0,0.0
122,2,-0.27,-0.46
122,3,0.39,0.31
122,4,1.68,1.86
122,5,1.43,0.81
122,6,1.15,0.56
122,7,0.51,-0.53
123,1,0.0,0.0
123,2,10.36,6.04
123,3,1.77,2.2
123,4,-0.08,0.37
123,5,-0.14,-0.01
123,6,0.09,0.17
123,7,0.02,-0.17
124,1,0.0,0.0
124,2,-0.51,-0.37
124,3,-0.38,-0.43
124,4,-0.45,-0.62
124,5,-0.46,-0.35
124,6,-0.77,-0.76
124,7,-0.31,-0.38
125,1,0.0,0.0
125,2,0.0,0.0
125,3,-0.71,-0.27
125,4,-0.76,-0.43
125,5,-0.86,-0.34
125,6,-1.54,-0.46
125,7,-1.04,-0.46
126,1,0.0,0.0
126,2,-0.41,-0.23
126,3,-0.52,-0.29
126,4,-0.52,-0.38
126,5,-0.4,-0.49
126,6,-0.1,-0.28
126,7,-0.46,-0.33
127,1,0.0,0.0
127,2,0.86,-0.43
127,3,-4.35,-0.99
127,4,-1.36,-0.88
127,5,-0.92,-0.47
127,6,0.82,0.06
127,7,3.5,1.73
128,1,0.0,0.0
128,2,-0.38,-0.22
128,3,-0.77,-0.18
128,4,-0.24,-0.24
128,5,-1.2,-0.47
128,6,-1.24,-0.6
128,7,-0.99,-0.55
129,1,0.0,0.0
129,2,0.26,-0.18
129,3,1.05,-0.09
129,4,-1.08,-0.24
129,5,-1.21,-0.54
129,6,-0.72,-0.49
129,7,-0.65,-0.54
130,1,0.0,0.0
130,2,-0.92,-0.58
130,3,-1.31,-0.9
130,4,-0.89,-1.16
130,5,-0.7,-0.53
130,6,-0.7,-0.78
130,7,-0.63,-0.78
131,1,0.0,0.0
131,2,0.0,-0.21
131,3,-0.39,-0.31
131,4,-0.24,-0.3
131,5,-1.81,-0.49
131,6,-1.74,-0.48
131,7,-1.08,-0.42
132,1,5.71,0.0
132,2,246.88,0.0
132,3,76.34,0.0
132,4,34.2,0.0
132,5,110.88,0.0
132,6,88.87,0.0
132,7,77.57,0.0
133,1,0.0,0.0
133,2,-0.78,-0.35
133,3,-1.41,-0.78
133,4,-0.92,-0.48
133,5,-0.51,-0.55
133,6,-0.68,-0.44
133,7,0.49,-0.29
134,1,0.0,0.0
134,2,-0.1,0.31
134,3,-0.11,-0.46
134,4,1.29,-0.07
134,5,-0.48,-0.3
134,6,0.04,-0.26
134,7,1.23,-0.01
135,1,0.0,0.0
135,2,2.24,0.04
135,3,2.6,-0.05
135,4,1.69,0.1
135,5,0.9,0.1
135,6,-0.37,-0.09
135,7,-0.56,-0.3
136,1,0.0,0.0
136,2,-0.41,-0.35
136,3,0.04,0.44
136,4,0.78,-0.16
136,5,1.82,0.09
136,6,1.02,0.08
136,7,2.19,0.26
137,1,0.0,0.0
137,2,-0.62,-0.35
137,3,-0.07,0.12
137,4,-0.42,-0.26
137,5,-0.15,-0.09
137,6,-0.02,0.11
137,7,-0.27,-0.23
138,1,0.0,0.0
138,2,0.16,0.7
138,3,-0.43,-0.46
138,4,-0.91,-0.38
138,5,-0.47,-0.24
138,6,-0.41,-0.22
138,7,-0.81,-0.33
139,1,0.0,0.0
139,2,0.0,-0.43
139,3,-0.61,-0.68
139,4,-0.16,-0.69
139,5,-1.02,-0.78
139,6,-1.78,-0.77
139,7,-1.0,-0.98
140,1,-0.38,0.0
140,2,-0.38,-0.35
140,3,-0.4,-0.67
140,4,-0.39,0.07
140,5,-0.43,-0.46
140,6,-0.49,-0.64
140,7,-0.48,-0.6
141,1,0.0,0.0
141,2,-0.44,-0.35
141,3,0.2,-0.03
141,4,-0.57,-0.61
141,5,-0.22,-0.43
141,6,-0.13,-0.14
141,7,-0.58,-0.38
142,1,0.0,0.0
142,2,-0.39,-0.23
142,3,-0.5,-0.32
142,4,-0.54,-0.36
142,5,-0.41,-0.39
142,6,-0.44,-0.45
142,7,-0.49,-0.38
143,1,0.0,0.0
143,2,0.0,-0.37
143,3,5.4,0.24
143,4,0.67,-0.33
143,5,0.57,-0.36
143,6,0.67,-0.4
143,7,-0.68,-0.58
144,1,0.0,0.0
144,2,7.71,2.64
144,3,2.56,0.89
144,4,0.27,0.14
144,5,0.12,-0.13
144,6,0.19,0.14
144,7,-0.26,-0.07
145,1,0.0,0.0
145,2,-0.39,-0.49
145,3,-0.7,-0.63
145,4,0.67,0.51
145,5,0.19,0.22
145,6,0.45,0.61
145,7,0.42,0.19
146,1,0.0,0.0
146,2,-0.65,-0.35
146,3,-0.77,-0.37
146,4,-1.08,-0.47
146,5,1.81,0.75
146,6,0.58,0.14
146,7,0.32,-0.27
147,1,0.0,0.0
147,2,0.0,-0.2
147,3,0.72,0.58
147,4,-0.81,-0.76
147,5,-1.07,-0.39
147,6,-0.85,-0.34
147,7,-0.65,-0.19
148,1,0.0,0.0
148,2,0.0,-0.2
148,3,-0.33,0.18
148,4,0.95,1.58
148,5,-0.39,-0.19
148,6,-0.45,-0.24
148,7,-0.49,-0.26
149,1,0.0,0.0
149,2,-0.36,-0.2
149,3,-0.18,-0.04
149,4,1.24,0.31
149,5,-0.85,-0.35
149,6,-1.48,-0.46
149,7,-0.71,-0.44
150,1,0.0,0.0
150,2,-0.57,-0.35
150,3,-0.6,-0.52
150,4,-0.94,-0.61
150,5,-0.79,-0.62
150,6,-0.82,-0.48
150,7,-0.32,-0.47
151,1,0.0,0.0
151,2,0.0,-0.2
151,3,-0.51,-0.1
151,4,-1.4,-0.59
151,5,-0.58,-0.32
151,6,-0.61,-0.36
151,7,-0.68,-0.42
152,1,0.0,0.0
152,2,-0.41,-0.23
152,3,-0.57,-0.19
152,4,-0.93,-0.26
152,5,0.37,-0.2
152,6,-0.27,-0.41
152,7,1.09,-0.27
153,1,0.0,0.0
153,2,0.0,-0.27
153,3,-0.22,-0.77
153,4,-1.05,-0.68
153,5,0.73,-0.54
153,6,0.99,-0.52
153,7,1.54,-0.44
154,1,0.0,0.0
154,2,-0.33,-0.18
154,3,-1.09,-0.88
154,4,-1.12,-0.52
154,5,-0.48,-0.26
154,6,-0.08,0.59
154,7,-0.49,-0.22
155,1,0.0,0.0
155,2,-0.32,-0.43
155,3,0.96,0.4
155,4,0.13,-0.47
155,5,-0.39,-0.56
155,6,-0.18,-0.64
155,7,-0.06,-0.52
156,1,0.0,0.0
156,2,0.0,0.0
156,3,-0.4,-0.43
156,4,-0.03,-0.41
156,5,-0.36,-0.46
156,6,-0.33,-0.46
156,7,0.3,-0.19
157,1,0.0,0.0
157,2,6.36,-0.27
157,3,-0.52,-0.66
157,4,-0.57,-0.72
157,5,-0.88,-0.68
157,6,-0.73,-0.62
157,7,0.8,-0.3
158,1,0.0,0.0
158,2,-0.45,-0.35
158,3,1.1,1.02
158,4,-0.03,-0.12
158,5,-0.24,-0.01
158,6,-0.23,0.21
158,7,-0.24,0.19
159,1,0.0,0.0
159,2,8.48,2.28
159,3,0.4,0.69
159,4,1.5,2.03
159,5,-0.08,0.51
159,6,-0.46,0.06
159,7,-0.47,-0.19
160,1,0.0,0.0
160,2,-0.52,-0.37
160,3,-0.67,-0.68
160,4,-0.42,-0.62
160,5,-0.68,-0.72
160,6,-0.51,-0.57
160,7,-0.29,-0.08
161,1,0.0,0.0
161,2,0.0,-0.19
161,3,-0.28,-0.4
161,4,1.25,-0.06
161,5,5.24,1.25
161,6,3.89,0.88
161,7,1.47,0.53
162,1,0.0,0.0
162,2,-0.37,-0.37
162,3,-0.57,-0.64
162,4,0.55,-0.4
162,5,1.42,-0.31
162,6,0.87,-0.26
162,7,3.1,0.46
163,1,0.0,0.0
163,2,-0.49,-0.4
163,3,-0.61,-0.35
163,4,-0.34,-0.06
163,5,-0.22,0.32
163,6,-0.34,-0.25
163,7,-0.44,-0.41
164,1,0.0,0.0
164,2,-0.52,-0.66
164,3,-1.09,-0.88
164,4,-0.69,-0.63
164,5,-0.56,-0.56
