districtid,weekid,neighborhoodzscore,statezscore
101,1,0.0,0.0
101,2,0.0,0.0
101,3,0.0,0.0
101,4,0.0,0.0
101,5,0.0,0.0
101,6,0.0,0.0
101,7,-0.58,-0.24
101,8,-0.53,-0.29
101,9,-0.5,-0.29
101,10,-0.49,-0.35
101,11,-0.74,-0.37
101,12,-1.26,-0.42
101,13,-1.5,-0.38
101,14,-1.36,-0.36
101,15,-2.55,-0.45
101,16,-1.26,-0.47
101,17,-0.84,-0.41
101,18,-1.09,-0.44
101,19,-0.89,-0.39
101,20,-2.44,-0.44
101,21,-1.37,-0.48
101,22,-1.65,-0.43
101,23,-1.91,-0.47
101,24,-2.06,-0.54
101,25,-1.02,-0.49
102,1,0.0,0.0
102,2,0.0,0.0
102,3,0.0,0.0
102,4,0.0,0.0
102,5,0.0,0.0
102,6,0.0,0.0
102,7,9.04,13.73
102,8,10.6,10.48
102,9,10.49,3.65
102,10,1.6,0.72
102,11,0.08,0.39
102,12,0.01,0.95
102,13,0.15,0.9
102,14,0.12,0.85
102,15,-0.74,-0.1
102,16,-0.25,0.14
102,17,0.12,-0.0
102,18,0.01,-0.29
102,19,0.11,-0.29
102,20,1.08,-0.31
102,21,0.8,-0.3
102,22,0.36,-0.35
102,23,-0.05,-0.39
102,24,0.85,-0.31
102,25,2.21,-0.01
103,1,0.0,0.0
103,2,0.0,0.0
103,3,0.0,0.0
103,4,0.0,0.0
103,5,0.0,0.0
103,6,0.0,0.0
103,7,90.8,47.18
103,8,104.08,44.34
103,9,160.15,62.32
103,10,119.43,37.52
103,11,115.29,31.54
103,12,42.59,22.16
103,13,136.87,25.42
103,14,81.5,20.61
103,15,71.42,7.77
103,16,62.13,5.19
103,17,15.22,3.26
103,18,11.44,3.31
103,19,14.95,3.43
103,20,10.87,2.66
103,21,9.42,2.81
103,22,11.27,2.8
103,23,10.7,2.99
103,24,9.03,2.69
103,25,8.82,2.43
104,1,0.0,0.0
104,2,0.0,0.0
104,3,0.0,0.0
104,4,0.0,0.0
104,5,0.0,0.0
104,6,0.0,0.0
104,7,-1.01,-0.23
104,8,-0.79,-0.27
104,9,-0.81,-0.29
104,10,-0.72,-0.27
104,11,-0.67,-0.29
104,12,-0.66,-0.27
104,13,-0.69,-0.33
104,14,-0.71,-0.36
104,15,-0.67,-0.37
104,16,-0.65,-0.36
104,17,-0.68,-0.34
104,18,-0.68,-0.33
104,19,-0.53,-0.06
104,20,-0.42,0.15
104,21,-0.32,0.37
104,22,-0.29,0.51
104,23,-0.39,0.25
104,24,-0.3,0.27
104,25,-0.33,0.2
105,1,0.0,0.0
105,2,-0.37,0.0
105,3,-0.4,0.0
105,4,-0.38,0.0
105,5,-0.38,0.0
105,6,-0.37,0.0
105,7,-0.38,0.0
105,8,-0.38,0.0
105,9,-0.45,0.0
105,10,-0.42,0.0
105,11,-0.39,0.0
105,12,-0.37,23.51
105,13,-0.47,-0.17
105,14,-0.47,0.14
105,15,-0.44,10.25
105,16,-0.4,-0.27
105,17,-0.38,11.93
105,18,-0.38,10.55
105,19,-0.37,21.91
105,20,-0.39,49.56
105,21,-0.39,9.24
105,22,-0.39,2.74
105,23,-0.38,5.05
105,24,-0.39,11.23
105,25,-0.39,7.95
106,1,0.0,0.0
106,2,0.0,0.0
106,3,0.0,0.0
106,4,0.0,0.0
106,5,0.0,0.0
106,6,0.0,0.0
106,7,0.17,0.51
106,8,-0.05,0.31
106,9,-0.27,0.08
106,10,-0.98,-0.34
106,11,-0.6,-0.08
106,12,-0.59,-0.29
106,13,-0.33,-0.1
106,14,-0.61,-0.39
106,15,-0.43,-0.29
106,16,-0.05,0.02
106,17,-0.04,0.2
106,18,0.56,0.76
106,19,1.08,0.89
106,20,0.86,0.82
106,21,0.69,1.05
106,22,0.88,1.07
106,23,0.34,0.93
106,24,-0.05,0.35
106,25,-0.02,0.41
107,1,0.0,0.0
107,2,0.0,0.0
107,3,0.0,0.0
107,4,0.0,0.0
107,5,0.0,0.0
107,6,0.0,0.0
107,7,2.63,-0.2
107,8,2.64,-0.17
107,9,8.18,-0.21
107,10,4.3,-0.19
107,11,5.95,-0.19
107,12,4.11,-0.2
107,13,22.85,-0.22
107,14,4.51,-0.29
107,15,5.24,-0.3
107,16,2.46,-0.34
107,17,1.93,-0.36
107,18,0.06,-0.4
107,19,-0.37,-0.38
107,20,-0.16,-0.44
107,21,-1.08,-0.53
107,22,-0.81,-0.61
107,23,-0.83,-0.61
107,24,-0.84,-0.58
107,25,-0.52,-0.61
108,1,0.0,0.0
108,2,0.0,0.0
108,3,0.0,0.0
108,4,0.0,0.0
108,5,0.0,0.0
108,6,0.0,0.0
108,7,-0.87,-1.02
108,8,-0.5,-0.47
108,9,0.86,-0.66
108,10,0.76,-0.3
108,11,1.64,-0.3
108,12,0.28,-0.04
108,13,2.01,0.11
108,14,-1.86,-0.33
108,15,3.16,1.01
108,16,1.02,0.18
108,17,2.64,0.61
108,18,0.64,0.18
108,19,0.15,0.13
108,20,-1.78,-0.43
108,21,1.31,0.22
108,22,1.14,0.02
108,23,1.04,0.1
108,24,1.62,0.32
108,25,-0.78,-0.35
109,1,0.0,0.0
109,2,0.0,0.0
109,3,0.0,0.0
109,4,0.0,0.0
109,5,0.0,0.0
109,6,0.0,0.0
109,7,1.27,0.93
